Match 1,Match 2,Lipid 1,Lipid 2,Number,Gene,Reaction
PC(38:5),LPC(20:1),PC,LPC,30814,PLA2G2E,23
PE(36:5),LPE(16:0),PE,LPE,8605,PLA2G4C,27
PG(40:5),LPG(16:0),PG,LPG,54675,CRLS1,33
PC(40:4),LPC(21:4),PC,LPC,283748,PLA2G4D,23
PC(38:4),LPC(16:0),PC,LPC,5319,PLA2G1B,23
LPE(20:5),PE(38:3),LPE,PE,10162,LPCAT3,26
PC(36:2),LPC(24:1),PC,LPC,5319,PLA2G1B,23
LPE(22:0),PE(22:0),LPE,PE,10162,LPCAT3,26
PC(34:1),LPC(17:1),PC,LPC,5320,PLA2G2A,23
PC(40:2),LPC(18:2),PC,LPC,5319,PLA2G1B,23
LPS(20:2) ,PS(34:1),LPS,PS,254531,LPCAT4,30
PI(38:6),LPI(20:4) ,PI,LPI,123745,PLA2G4E,29
PC(38:2),LPC(22:2),PC,LPC,123745,PLA2G4E,23
LPG(20:2) ,PG(42:7),LPG,PG,54675,CRLS1,32
PG(42:6),LPG(20:0),PG,LPG,54675,CRLS1,33
PS(38:7),PE(20:3),PS,PE,23761,PISD,6
LPC(12:0),PC(32:3),LPC,PC,10162,LPCAT3,22
LPE(18:3),PE(32:3),LPE,PE,254531,LPCAT4,26
PC(42:1),LPC(24:0),PC,LPC,8605,PLA2G4C,23
PC(40:0),LPC(16:1)_2,PC,LPC,64600,PLA2G2F,23
PC(38:6),LPC(20:3),PC,LPC,255189,PLA2G4F,23
LPS(20:4) ,PS(44:4),LPS,PS,254531,LPCAT4,30
SM(44:2),Cer(32:2),SM,Cer,6610,SMPD2,18
LPS(22:4) ,PS(42:8),LPS,PS,254531,LPCAT4,30
SM(32:2),Cer(44:2),SM,Cer,6610,SMPD2,18
LPC(16:1),PC(40:1),LPC,PC,54947,LPCAT2,22
LPG(20:2) ,PG(42:6),LPG,PG,9926,LPGAT1,32
PS(42:2),LPS(22:1) ,PS,LPS,5320,PLA2G2A,31
PG(42:10),LPG(20:4) ,PG,LPG,255189,PLA2G4F,33
PE(42:3),LPE(24:0),PE,LPE,8605,PLA2G4C,27
PI(36:0),LPI(18:4) ,PI,LPI,283748,PLA2G4D,29
LPC(20:2),PC(36:3),LPC,PC,79888,LPCAT1,22
PS(40:4),LPS(22:2) ,PS,LPS,30814,PLA2G2E,31
PS(34:5),LPS(12:0) ,PS,LPS,30814,PLA2G2E,31
PI(40:0),LPI(22:1) ,PI,LPI,283748,PLA2G4D,29
LPS(18:3) ,PS(30:2),LPS,PS,254531,LPCAT4,30
LPC(17:0),PC(32:0),LPC,PC,10162,LPCAT3,22
PS(38:0),PE(18:3),PS,PE,23761,PISD,6
PE(40:1),LPE(20:1),PE,LPE,8605,PLA2G4C,27
PS(36:5),LPS(12:0) ,PS,LPS,64600,PLA2G2F,31
LPC(18:0),PC(46:0),LPC,PC,10162,LPCAT3,22
LPE(16:1),PE(44:1),LPE,PE,129642,MBOAT2,26
PC(42:3),LPC(18:3),PC,LPC,5321,PLA2G4A,23
LPS(20:2) ,PS(40:5),LPS,PS,154141,MBOAT1,30
LPE(20:4),PE(38:5),LPE,PE,254531,LPCAT4,26
LPG(20:4) ,PG(40:5),LPG,PG,54675,CRLS1,32
PC(44:5),LPC(20:5),PC,LPC,64600,PLA2G2F,23
PS(42:9),LPS(20:5) ,PS,LPS,5320,PLA2G2A,31
PC(44:5),LPC(18:4),PC,LPC,5320,PLA2G2A,23
PC(36:0) ,LPC(10:0),PC,LPC,5321,PLA2G4A,23
LPE(17:1),PE(32:1),LPE,PE,254531,LPCAT4,26
LPE(22:0),PE(38:0)_2,LPE,PE,129642,MBOAT2,26
LPE(14:0),PE(36:1),LPE,PE,254531,LPCAT4,26
PC(42:5),LPC(22:4),PC,LPC,26279,PLA2G2D,23
PC(34:3),LPC(16:0),PC,LPC,30814,PLA2G2E,23
PC(38:0),LPC(22:1),PC,LPC,123745,PLA2G4E,23
LPC(20:4),PC(38:5),LPC,PC,254531,LPCAT4,22
PE(38:7),LPE(14:1),PE,LPE,8605,PLA2G4C,27
PC(34:0),LPC(12:0),PC,LPC,26279,PLA2G2D,23
PS(36:6),LPS(18:4)_2,PS,LPS,5320,PLA2G2A,31
PC(40:0),LPC(24:1),PC,LPC,123745,PLA2G4E,23
Cer1P(40:1),SM(40:1),Cer,SM,10087,CERT1,17
PI(30:0),LPI(16:1) ,PI,LPI,123745,PLA2G4E,29
PS(34:4),LPS(20:4) ,PS,LPS,64600,PLA2G2F,31
PC(42:8),LPC(18:3),PC,LPC,5321,PLA2G4A,23
PC(36:2),LPC(22:1),PC,LPC,255189,PLA2G4F,23
LPE(22:2),PE(42:2),LPE,PE,254531,LPCAT4,26
PC(40:2),PS(28:2),PC,PS,9791,PTDSS1,9
PC(32:3),PS(44:4),PC,PS,9791,PTDSS1,9
LPC(16:1),PC(38:1),LPC,PC,54947,LPCAT2,22
PS(42:3),PE(22:0),PS,PE,23761,PISD,6
LPE(13:0),PE(30:1),LPE,PE,154141,MBOAT1,26
LPE(18:1),PE(36:0),LPE,PE,129642,MBOAT2,26
PC(32:3),LPC(20:2),PC,LPC,5321,PLA2G4A,23
PC(36:1),LPC(12:0),PC,LPC,30814,PLA2G2E,23
LPS(20:1) ,PS(36:0),LPS,PS,154141,MBOAT1,30
PC(30:1),LPC(18:2),PC,LPC,30814,PLA2G2E,23
PS(40:1),LPS(16:1) ,PS,LPS,5320,PLA2G2A,31
PC(44:4),LPC(22:0),PC,LPC,123745,PLA2G4E,23
LPC(18:2),PC(36:2),LPC,PC,79888,LPCAT1,22
LPC(2:0),PC(30:0),LPC,PC,54947,LPCAT2,22
LPC(22:5),PC(44:0),LPC,PC,10162,LPCAT3,22
PE(16:1),PS(30:1),PE,PS,81490,PTDSS2,7
SM(34:0),Cer1P(20:1),SM,Cer,6609,SMPD1,18
LPC(18:2),PC(40:8),LPC,PC,10162,LPCAT3,22
LPC(22:0),PC(52:0),LPC,PC,10162,LPCAT3,22
PE(20:1),PS(40:5),PE,PS,81490,PTDSS2,7
LPC(20:5),PC(44:6),LPC,PC,79888,LPCAT1,22
LPC(20:2),PC(42:7),LPC,PC,10162,LPCAT3,22
PC(42:10),LPC(22:5),PC,LPC,255189,PLA2G4F,23
LPG(22:4) ,PG(42:1),LPG,PG,54675,CRLS1,32
PE(20:4),PC(42:3),PE,PC,10400,PEMT,8
PC(40:8),LPC(18:4),PC,LPC,5321,PLA2G4A,23
LPE(18:4),PE(36:0),LPE,PE,129642,MBOAT2,26
LPS(14:1) ,PS(36:2),LPS,PS,154141,MBOAT1,30
PS(30:0),LPS(13:0) ,PS,LPS,30814,PLA2G2E,31
LPE(14:1),PE(32:1),LPE,PE,129642,MBOAT2,26
LPC(17:2),PC(32:2),LPC,PC,254531,LPCAT4,22
PG(44:2),LPG(22:2),PG,LPG,54675,CRLS1,33
PS(42:7),LPS(18:1) ,PS,LPS,30814,PLA2G2E,31
LPE(22:6),PE(40:3),LPE,PE,254531,LPCAT4,26
PC(30:0),LPC(11:0),PC,LPC,5320,PLA2G2A,23
LPE(18:2),PE(38:2),LPE,PE,129642,MBOAT2,26
PC(40:2),PS(26:1),PC,PS,9791,PTDSS1,9
PC(38:2),LPC(24:1),PC,LPC,5319,PLA2G1B,23
LPG(22:1) ,PG(40:3),LPG,PG,9926,LPGAT1,32
LPE(24:1),PE(42:1),LPE,PE,10162,LPCAT3,26
LPC(18:3),PC(42:9),LPC,PC,79888,LPCAT1,22
PS(38:0),PE(21:0),PS,PE,23761,PISD,6
PC(36:2),LPC(20:1),PC,LPC,8605,PLA2G4C,23
PC(42:3),LPC(18:3),PC,LPC,123745,PLA2G4E,23
LPC(20:3),PC(42:8),LPC,PC,10162,LPCAT3,22
PC(40:0),LPC(18:1),PC,LPC,5321,PLA2G4A,23
PC(38:4),LPC(16:0),PC,LPC,123745,PLA2G4E,23
PC(42:2),LPC(18:2),PC,LPC,30814,PLA2G2E,23
LPS(18:4),PS(38:1),LPS,PS,154141,MBOAT1,30
PG(42:6),LPG(20:0),PG,LPG,283748,PLA2G4D,33
PS(34:0),LPS(16:0) ,PS,LPS,30814,PLA2G2E,31
Cer(36:1),SM(36:1),Cer,SM,10087,CERT1,17
PC(42:6),LPC(22:1),PC,LPC,5320,PLA2G2A,23
LPE(20:0),PE(38:1),LPE,PE,254531,LPCAT4,26
LPS(20:3) ,PS(38:4),LPS,PS,10162,LPCAT3,30
PC(36:1),LPC(24:0),PC,LPC,5321,PLA2G4A,23
LPC(24:1),PC(44:1),LPC,PC,254531,LPCAT4,22
PC(40:6),LPC(22:6),PC,LPC,5321,PLA2G4A,23
PE(20:1),PC(40:2),PE,PC,10400,PEMT,8
PC(40:2),LPC(18:2),PC,LPC,123745,PLA2G4E,23
LPC(14:0),PC(46:0),LPC,PC,10162,LPCAT3,22
PC(42:6),LPC(18:0),PC,LPC,5321,PLA2G4A,23
PG(42:4),LPG(22:4) ,PG,LPG,54675,CRLS1,33
LPC(16:1)_2,PC(34:4),LPC,PC,79888,LPCAT1,22
PS(38:3),LPS(22:2) ,PS,LPS,64600,PLA2G2F,31
PG(38:3),LPG(22:4) ,PG,LPG,283748,PLA2G4D,33
LPC(22:5),PC(34:6),LPC,PC,10162,LPCAT3,22
PG(42:2),LPG(16:1) ,PG,LPG,255189,PLA2G4F,33
PC(46:0),LPC(22:5),PC,LPC,8605,PLA2G4C,23
LPG(18:4),PG(32:3),LPG,PG,54675,CRLS1,32
PC(44:8),LPC(20:2),PC,LPC,8605,PLA2G4C,23
PC(32:1),PS(44:2),PC,PS,9791,PTDSS1,9
PC(38:4),LPC(22:4),PC,LPC,30814,PLA2G2E,23
PG(30:4),LPG(18:4),PG,LPG,54675,CRLS1,33
LPE(20:3),PE(36:4),LPE,PE,10162,LPCAT3,26
LPC(18:2),PC(36:2),LPC,PC,254531,LPCAT4,22
PI(34:0),LPI(18:1) ,PI,LPI,123745,PLA2G4E,29
LPE(17:1),PE(32:2),LPE,PE,154141,MBOAT1,26
PG(38:0) ,LPG(20:0),PG,LPG,283748,PLA2G4D,33
LPC(14:0),PC(34:0),LPC,PC,254531,LPCAT4,22
LPC(18:0),PC(38:4),LPC,PC,254531,LPCAT4,22
PC(40:10),LPC(18:4),PC,LPC,5319,PLA2G1B,23
LPE(20:4),PE(36:5),LPE,PE,154141,MBOAT1,26
LPG(22:0) ,PG(44:6),LPG,PG,9926,LPGAT1,32
PI(34:4),LPI(22:4) ,PI,LPI,283748,PLA2G4D,29
LPS(18:4)_2,PS(42:10),LPS,PS,254531,LPCAT4,30
PC(34:5),PS(34:5),PC,PS,9791,PTDSS1,9
LPE(20:2),PE(32:1),LPE,PE,154141,MBOAT1,26
PG(42:7),LPG(22:6) ,PG,LPG,54675,CRLS1,33
LPE(22:6),PE(40:10),LPE,PE,154141,MBOAT1,26
LPC(16:1),PC(32:1),LPC,PC,79888,LPCAT1,22
PC(40:5),LPC(20:2),PC,LPC,100137049,PLA2G4B,23
LPC(10:0),PC(34:6),LPC,PC,79888,LPCAT1,22
PS(34:2),LPS(17:2),PS,LPS,64600,PLA2G2F,31
PE(36:1),PS(24:0),PE,PS,81490,PTDSS2,7
PC(32:4),LPC(20:4),PC,LPC,5320,PLA2G2A,23
PG(34:5)_2,LPG(20:5) ,PG,LPG,54675,CRLS1,33
LPG(20:3) ,PG(42:2),LPG,PG,54675,CRLS1,32
PC(46:2),LPC(20:1),PC,LPC,30814,PLA2G2E,23
LPI(14:1),PI(36:2),LPI,PI,79143,MBOAT7,28
PC(36:0) ,LPC(8:0),PC,LPC,123745,PLA2G4E,23
PS(40:3),LPS(20:4) ,PS,LPS,30814,PLA2G2E,31
PC(38:2),PS(26:1),PC,PS,9791,PTDSS1,9
PS(38:2),LPS(20:5) ,PS,LPS,64600,PLA2G2F,31
PC(44:4),LPC(20:3),PC,LPC,8605,PLA2G4C,23
PC(42:5),LPC(22:1),PC,LPC,26279,PLA2G2D,23
PC(38:0),LPC(18:0),PC,LPC,255189,PLA2G4F,23
PI(42:8),LPI(18:3) ,PI,LPI,123745,PLA2G4E,29
LPC(14:1),PC(32:3),LPC,PC,254531,LPCAT4,22
PG(40:5),LPG(20:2) ,PG,LPG,255189,PLA2G4F,33
PI(38:4),LPI(18:0) ,PI,LPI,123745,PLA2G4E,29
LPC(20:5),PC(42:11),LPC,PC,10162,LPCAT3,22
Cer(44:2),SM(44:2),Cer,SM,10087,CERT1,17
LPS(20:4) ,PS(36:4),LPS,PS,254531,LPCAT4,30
PG(38:8),LPG(20:5) ,PG,LPG,283748,PLA2G4D,33
PC(40:6),LPC(22:6),PC,LPC,123745,PLA2G4E,23
LPG(12:0),PG(24:1),LPG,PG,54675,CRLS1,32
PS(24:0),PE(46:1),PS,PE,23761,PISD,6
PE(52:4),PS(34:1),PE,PS,81490,PTDSS2,7
PC(44:6),LPC(22:2),PC,LPC,5321,PLA2G4A,23
LPE(20:5),PE(38:2),LPE,PE,10162,LPCAT3,26
SM(40:0),Cer(40:0),SM,Cer,6610,SMPD2,18
PG(44:4),LPG(18:4),PG,LPG,283748,PLA2G4D,33
LPC(20:3),PC(44:8),LPC,PC,10162,LPCAT3,22
PC(42:0),LPC(8:0),PC,LPC,8605,PLA2G4C,23
LPE(20:2),PE(38:0)_2,LPE,PE,154141,MBOAT1,26
LPI(20:4) ,PI(32:5),LPI,PI,79143,MBOAT7,28
PI(42:10),LPI(18:4) ,PI,LPI,283748,PLA2G4D,29
PC(36:5),LPC(22:4),PC,LPC,5321,PLA2G4A,23
Cer(20:1),SM(32:2),Cer,SM,166929,SGMS2,17
PS(38:4),LPS(22:4) ,PS,LPS,64600,PLA2G2F,31
PC(34:1),LPC(17:1),PC,LPC,283748,PLA2G4D,23
PE(44:3),PS(26:0),PE,PS,81490,PTDSS2,7
PS(38:1),LPS(20:1) ,PS,LPS,30814,PLA2G2E,31
LPS(20:3) ,PS(42:7),LPS,PS,254531,LPCAT4,30
PG(40:6),LPG(22:4) ,PG,LPG,255189,PLA2G4F,33
PC(40:7),LPC(20:2),PC,LPC,64600,PLA2G2F,23
PI(40:9),LPI(18:4) ,PI,LPI,283748,PLA2G4D,29
PC(42:3),LPC(22:2),PC,LPC,64600,PLA2G2F,23
LPC(18:1),PC(36:1),LPC,PC,10162,LPCAT3,22
PS(40:9),LPS(18:4),PS,LPS,5320,PLA2G2A,31
PE(42:5),LPE(22:1),PE,LPE,8605,PLA2G4C,27
LPE(20:3),PE(38:0),LPE,PE,129642,MBOAT2,26
LPG(18:0) ,PG(38:5),LPG,PG,9926,LPGAT1,32
LPE(18:3),PE(40:9),LPE,PE,10162,LPCAT3,26
PS(44:4),PE(32:3),PS,PE,23761,PISD,6
LPC(17:1),PC(34:0),LPC,PC,54947,LPCAT2,22
PC(34:1),LPC(17:2),PC,LPC,64600,PLA2G2F,23
PC(36:8),LPC(18:4),PC,LPC,64600,PLA2G2F,23
PG(40:5),LPG(22:1) ,PG,LPG,54675,CRLS1,33
PE(44:6),LPE(24:6),PE,LPE,8605,PLA2G4C,27
PE(36:5),LPE(22:6),PE,LPE,8605,PLA2G4C,27
PS(42:5),PE(20:5),PS,PE,23761,PISD,6
PC(40:6),LPC(16:1),PC,LPC,64600,PLA2G2F,23
LPE(20:5),PE(42:9),LPE,PE,254531,LPCAT4,26
PC(44:3),LPC(20:3),PC,LPC,30814,PLA2G2E,23
PE(38:5),PS(38:5),PE,PS,81490,PTDSS2,7
LPC(22:4),PC(52:4),LPC,PC,79888,LPCAT1,22
PC(42:0),LPC(20:1),PC,LPC,30814,PLA2G2E,23
LPS(15:1),PS(30:0),LPS,PS,254531,LPCAT4,30
PS(40:3),LPS(18:4)_2,PS,LPS,30814,PLA2G2E,31
PC(44:0),LPC(24:0),PC,LPC,283748,PLA2G4D,23
LPE(18:0),PE(32:0),LPE,PE,129642,MBOAT2,26
LPC(20:0),PC(36:1),LPC,PC,254531,LPCAT4,22
PC(38:2),LPC(18:1),PC,LPC,64600,PLA2G2F,23
PG(30:0),LPG(14:0),PG,LPG,54675,CRLS1,33
PI(44:7),LPI(20:2) ,PI,LPI,123745,PLA2G4E,29
LPE(18:3),PE(42:2),LPE,PE,254531,LPCAT4,26
O-PE(34:0),P-PE(20:0),O-PE,P-PE,387521,PEDS1,84
LPE(14:1),PE(36:7),LPE,PE,254531,LPCAT4,26
PS(34:5)_2,LPS(14:0),PS,LPS,5320,PLA2G2A,31
PC(34:1),LPC(20:2),PC,LPC,5321,PLA2G4A,23
PS(44:1),PE(28:0),PS,PE,23761,PISD,6
PS(42:8),LPS(20:3) ,PS,LPS,64600,PLA2G2F,31
PS(32:2),PE(20:3),PS,PE,23761,PISD,6
PC(36:4),LPC(18:1),PC,LPC,5320,PLA2G2A,23
PS(32:2),PE(32:2),PS,PE,23761,PISD,6
LPC(22:6),PC(44:6),LPC,PC,79888,LPCAT1,22
PG(30:1),LPG(14:0),PG,LPG,283748,PLA2G4D,33
LPE(20:1),PE(32:2),LPE,PE,254531,LPCAT4,26
PE(44:4),PS(24:0),PE,PS,81490,PTDSS2,7
LPC(20:5),PC(44:10),LPC,PC,10162,LPCAT3,22
PC(38:0),LPC(24:0),PC,LPC,100137049,PLA2G4B,23
PC(32:5),LPC(12:0),PC,LPC,64600,PLA2G2F,23
PC(48:2),LPC(24:1),PC,LPC,5321,PLA2G4A,23
PC(38:1),LPC(16:0),PC,LPC,30814,PLA2G2E,23
PS(44:1),LPS(20:2) ,PS,LPS,30814,PLA2G2E,31
PS(40:2),LPS(16:1) ,PS,LPS,5320,PLA2G2A,31
PS(32:1),PE(18:0),PS,PE,23761,PISD,6
LPE(20:0),PE(36:1),LPE,PE,10162,LPCAT3,26
PC(44:5),LPC(22:4),PC,LPC,255189,PLA2G4F,23
LPE(21:0),PE(38:0),LPE,PE,254531,LPCAT4,26
LPC(18:4),PC(42:3),LPC,PC,54947,LPCAT2,22
LPC(18:1),PC(32:1),LPC,PC,54947,LPCAT2,22
PC(42:3),LPC(22:6),PC,LPC,255189,PLA2G4F,23
PC(42:1),LPC(16:1)_2,PC,LPC,5320,PLA2G2A,23
LPG(22:2),PG(44:1),LPG,PG,9926,LPGAT1,32
Cer1P(20:1),SM(40:1),Cer,SM,166929,SGMS2,17
PG(32:3),LPG(14:1) ,PG,LPG,54675,CRLS1,33
PE(36:3),LPE(20:2),PE,LPE,8605,PLA2G4C,27
LPS(20:1) ,PS(40:4),LPS,PS,10162,LPCAT3,30
LPE(12:0) ,PE(34:5),LPE,PE,129642,MBOAT2,26
PS(40:2),LPS(20:3) ,PS,LPS,30814,PLA2G2E,31
PI(34:4),LPI(16:1) ,PI,LPI,283748,PLA2G4D,29
LPE(20:1),PE(42:0),LPE,PE,254531,LPCAT4,26
LPC(24:0),PC(38:0),LPC,PC,10162,LPCAT3,22
LPE(17:1),PE(34:1),LPE,PE,254531,LPCAT4,26
Cer(30:1),SM(30:1),Cer,SM,166929,SGMS2,17
LPE(14:0),PE(32:0),LPE,PE,129642,MBOAT2,26
LPC(24:1),PC(44:1),LPC,PC,79888,LPCAT1,22
PC(42:9),LPC(20:4),PC,LPC,64600,PLA2G2F,23
PC(46:0),LPC(22:1),PC,LPC,30814,PLA2G2E,23
LPE(16:0),PE(40:1),LPE,PE,154141,MBOAT1,26
PC(42:4),LPC(20:5),PC,LPC,26279,PLA2G2D,23
Cer(20:1),SM(34:1),Cer,SM,166929,SGMS2,17
PC(44:1),LPC(22:1),PC,LPC,64600,PLA2G2F,23
PC(36:1),LPC(22:1),PC,LPC,5321,PLA2G4A,23
PC(38:3),LPC(20:5),PC,LPC,255189,PLA2G4F,23
LPI(13:0),PI(28:1),LPI,PI,79143,MBOAT7,28
PC(34:3),LPC(18:2),PC,LPC,8605,PLA2G4C,23
PI(40:3),LPI(20:0) ,PI,LPI,283748,PLA2G4D,29
LPC(18:0),PC(42:6),LPC,PC,254531,LPCAT4,22
LPC(12:0),PC(32:5),LPC,PC,79888,LPCAT1,22
