,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Area,Area_RT
30,[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,5788.0,816.7 -> 599.5,0,23,58924.0,0.22203333333333397
31,[TG(54:5)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.84,38262.0,788.7 -> 599.5,0,11,1048040.0,0.9325500000000009
32,[TG(54:5)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.83,9143.0,816.7 -> 599.5,0,23,138513.0,0.48848333333333294
33,[TG(54:5)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.88,52768.0,788.7 -> 599.5,0,11,1663995.0,0.9328166666666657
35,[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,12026.0,816.7 -> 599.5,0,23,155980.0,0.577283333333332
36,[TG(54:5)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.88,58631.0,788.7 -> 599.5,0,11,1818201.0,0.9328000000000003
37,[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,5135.0,816.7 -> 599.5,0,23,46364.0,0.17763333333333264
38,[TG(54:5)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.88,30665.0,788.7 -> 599.5,0,11,790276.0,0.8881499999999996
39,[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,816.7,599.5,13.78,8106.0,816.7 -> 599.5,0,23,84184.0,0.6661000000000001
40,[TG(54:5)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,788.7,599.5,13.84,45432.0,788.7 -> 599.5,0,11,1180011.0,0.9328000000000003
41,[TG(54:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.76,597.0,814.7 -> 597.5,0,21,6715.0,0.08880000000000088
42,[TG(54:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.77,10734.0,786.7 -> 597.5,0,9,145208.0,0.8437333333333328
43,[TG(54:6)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.72,1291.0,814.7 -> 597.5,0,21,12746.0,0.17763333333333264
44,[TG(54:6)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.82,10041.0,786.7 -> 597.5,0,9,185120.0,0.9325499999999991
45,[TG(54:6)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.76,1439.0,814.7 -> 597.5,0,21,17636.0,0.22203333333333397
46,[TG(54:6)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.77,7895.0,786.7 -> 597.5,0,9,160413.0,0.9325333333333319
47,[TG(54:6)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.67,709.0,814.7 -> 597.5,0,21,5605.0,0.04439999999999955
48,[TG(54:6)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.73,4295.0,786.7 -> 597.5,0,9,67852.0,0.3108500000000003
49,[TG(54:6)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,814.7,597.5,12.67,1020.0,814.7 -> 597.5,0,21,6761.0,0.04441666666666677
50,[TG(54:6)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,786.7,597.5,12.77,7405.0,786.7 -> 597.5,0,9,136472.0,0.7549166666666665
51,"[TG(55:10),TG(54:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.14,16109.0,820.7 -> 603.5,0,28,174074.0,0.3108499999999985
52,"[TG(55:10),TG(54:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.19,130171.0,792.7 -> 603.5,0,14,1687506.0,0.3108499999999985
53,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,778.6,603.5,16.24,1124.0,778.6 -> 603.5,0,8,13488.0,0.5328833333333343
54,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.18,43154.0,820.7 -> 603.5,0,28,630540.0,0.7104999999999997
55,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.23,275678.0,792.7 -> 603.5,0,14,4011228.0,0.5772833333333338
56,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,778.6,603.5,16.24,1642.0,778.6 -> 603.5,0,8,16944.0,0.13321666666666587
57,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.14,75285.0,820.7 -> 603.5,0,28,987214.0,0.7549333333333337
58,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.19,505075.0,792.7 -> 603.5,0,14,6584558.0,0.7549166666666682
59,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,778.6,603.5,16.24,559.0,778.6 -> 603.5,0,8,2234.0,0.0
60,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.14,11964.0,820.7 -> 603.5,0,28,149299.0,0.26644999999999897
61,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.19,95284.0,792.7 -> 603.5,0,14,1258987.0,0.3108499999999985
62,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,820.7,603.5,16.14,17900.0,820.7 -> 603.5,0,28,213198.0,0.26644999999999897
63,"[TG(55:10),TG(54:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,792.7,603.5,16.19,132593.0,792.7 -> 603.5,0,14,1790242.0,0.35524999999999807
64,"[TG(55:11),TG(54:4)]_FA16:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.98,6641.0,818.7 -> 629.5,0,26,141212.0,0.5775666666666677
65,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.94,12478.0,818.7 -> 629.5,0,26,319533.0,0.5331500000000009
66,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,790.7,629.5,15.12,1752.0,790.7 -> 629.5,0,13,24701.0,0.2220333333333322
67,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.94,10225.0,818.7 -> 629.5,0,26,304682.0,0.6219666666666672
68,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,790.7,629.5,15.08,2796.0,790.7 -> 629.5,0,13,21162.0,0.13321666666666765
69,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.94,4048.0,818.7 -> 629.5,0,26,75482.0,0.44406666666666617
70,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.94,9752.0,818.7 -> 629.5,0,26,230121.0,0.48848333333333294
71,"[TG(55:11),TG(54:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.98,19768.0,818.7 -> 601.5,0,25,208413.0,0.22203333333333397
72,"[TG(55:11),TG(54:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,790.7,601.5,15.03,117046.0,790.7 -> 601.5,0,12,1432016.0,0.35526666666666706
73,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,776.6,601.5,15.08,1045.0,776.6 -> 601.5,0,7,10144.0,0.13321666666666587
74,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.98,44031.0,818.7 -> 601.5,0,25,551382.0,0.3108500000000003
75,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,790.7,601.5,15.08,222834.0,790.7 -> 601.5,0,12,3014222.0,0.5328833333333343
76,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,776.6,601.5,15.08,2074.0,776.6 -> 601.5,0,7,19688.0,0.17763333333333442
77,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.98,57289.0,818.7 -> 601.5,0,25,809255.0,0.7104999999999997
78,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,790.7,601.5,15.03,344147.0,790.7 -> 601.5,0,12,4249541.0,0.48848333333333294
79,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.98,18153.0,818.7 -> 601.5,0,25,179370.0,0.22203333333333397
80,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,790.7,601.5,15.03,88763.0,790.7 -> 601.5,0,12,1094530.0,0.3108500000000003
81,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,818.7,601.5,14.98,24578.0,818.7 -> 601.5,0,25,262592.0,0.26644999999999897
82,"[TG(55:11),TG(54:4)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,790.7,601.5,15.03,130088.0,790.7 -> 601.5,0,12,1603065.0,0.35526666666666706
83,"[TG(55:8),TG(54:1)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,824.7,607.5,18.49,669.0,824.7 -> 607.5,0,32,4787.0,0.04441666666666677
84,"[TG(55:8),TG(54:1)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,796.7,607.5,18.59,10666.0,796.7 -> 607.5,0,16,116244.0,0.26643333333333175
85,"[TG(55:8),TG(54:1)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,824.7,607.5,18.58,1140.0,824.7 -> 607.5,0,32,16397.0,0.17761666666666898
86,"[TG(55:8),TG(54:1)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,796.7,607.5,18.59,19742.0,796.7 -> 607.5,0,16,219823.0,0.2220333333333322
87,"[TG(55:8),TG(54:1)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,824.7,607.5,18.49,1388.0,824.7 -> 607.5,0,32,14023.0,0.08881666666666632
88,"[TG(55:8),TG(54:1)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,796.7,607.5,18.59,28746.0,796.7 -> 607.5,0,16,351677.0,0.26643333333333175
89,"[TG(55:8),TG(54:1)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,796.7,607.5,18.54,1373.0,796.7 -> 607.5,0,16,8999.0,0.04439999999999955
90,"[TG(55:8),TG(54:1)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,796.7,607.5,18.54,8592.0,796.7 -> 607.5,0,16,95522.0,0.2220333333333322
91,"[TG(55:9),TG(54:2)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,822.7,605.5,17.38,3522.0,822.7 -> 605.5,0,30,51561.0,0.22203333333333575
92,"[TG(55:9),TG(54:2)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,794.7,605.5,17.43,66742.0,794.7 -> 605.5,0,15,897376.0,0.3552500000000016
93,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,822.7,605.5,17.42,5809.0,822.7 -> 605.5,0,30,101268.0,0.35526666666666884
94,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,794.7,605.5,17.43,102335.0,794.7 -> 605.5,0,15,1520060.0,0.6661000000000001
95,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,822.7,605.5,17.33,8698.0,822.7 -> 605.5,0,30,165363.0,0.3552500000000016
96,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,794.7,605.5,17.43,129769.0,794.7 -> 605.5,0,15,2158782.0,0.7549166666666665
97,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,822.7,605.5,17.33,1655.0,822.7 -> 605.5,0,30,21162.0,0.2220333333333322
98,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,794.7,605.5,17.43,24157.0,794.7 -> 605.5,0,15,319798.0,0.2664333333333353
100,"[TG(55:9),TG(54:2)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,794.7,605.5,17.43,68341.0,794.7 -> 605.5,0,15,888203.0,0.35526666666666884
101,"[TG(56:10),TG(55:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,806.7,617.5,16.85,1399.0,806.7 -> 617.5,0,18,16646.0,0.13321666666666587
102,"[TG(56:10),TG(55:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,834.7,617.5,16.75,938.0,834.7 -> 617.5,0,33,6896.0,0.04439999999999955
103,"[TG(56:10),TG(55:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,806.7,617.5,16.76,5210.0,806.7 -> 617.5,0,18,69182.0,0.26644999999999897
104,"[TG(56:10),TG(55:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,834.7,617.5,16.67,1349.0,834.7 -> 617.5,0,33,11210.0,0.13321666666666943
105,"[TG(56:10),TG(55:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,806.7,617.5,16.76,6846.0,806.7 -> 617.5,0,18,109442.0,0.3108499999999985
106,"[TG(56:10),TG(55:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,806.7,617.5,16.76,844.0,806.7 -> 617.5,0,18,10674.0,0.1332333333333331
107,"[TG(56:10),TG(55:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,806.7,617.5,16.72,1920.0,806.7 -> 617.5,0,18,32887.0,0.2220333333333322
108,"[TG(56:11),TG(55:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,804.7,615.5,15.61,666.0,804.7 -> 615.5,0,17,4736.0,0.3108499999999985
109,"[TG(56:11),TG(55:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,804.7,615.5,15.61,1675.0,804.7 -> 615.5,0,17,24590.0,0.35526666666666706
110,"[TG(56:11),TG(55:4)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,804.7,615.5,15.61,3138.0,804.7 -> 615.5,0,17,31355.0,0.1332333333333331
111,"[TG(56:11),TG(55:4)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,804.7,615.5,15.56,778.0,804.7 -> 615.5,0,17,5972.0,0.04441666666666677
112,"[TG(56:11),TG(55:4)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,804.7,615.5,15.61,1114.0,804.7 -> 615.5,0,17,11094.0,0.08881666666666632
113,[TG(56:6)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,814.7,625.5,14.32,5046.0,814.7 -> 625.5,0,22,85482.0,0.8437333333333328
114,[TG(56:6)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,842.7,625.5,14.27,773.0,842.7 -> 625.5,0,37,8406.0,0.22203333333333397
115,[TG(56:6)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,814.7,625.5,14.41,8201.0,814.7 -> 625.5,0,22,222926.0,0.9325333333333337
116,[TG(56:6)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,842.7,625.5,14.27,1494.0,842.7 -> 625.5,0,37,16639.0,0.13321666666666765
117,[TG(56:6)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,814.7,625.5,14.36,10139.0,814.7 -> 625.5,0,22,250044.0,0.9325500000000009
118,[TG(56:6)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,842.7,625.5,14.35,653.0,842.7 -> 625.5,0,37,2611.0,0.0
119,[TG(56:6)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,814.7,625.5,14.41,2710.0,814.7 -> 625.5,0,22,52146.0,0.48848333333333294
120,[TG(56:6)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,842.7,625.5,14.27,517.0,842.7 -> 625.5,0,37,2068.0,0.0
121,[TG(56:6)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,814.7,625.5,14.32,5795.0,814.7 -> 625.5,0,22,138120.0,0.8881333333333341
124,"[TG(56:7),]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,812.8,651.6,13.03,808.0,812.8 -> 651.6,0,20,5406.0,0.13321666666666587
125,"[TG(56:7),]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,840.8,651.6,13.07,1568.0,840.8 -> 651.6,0,35,52689.0,0.7990499999999994
126,"[TG(56:7),]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,812.8,651.6,13.12,1275.0,812.8 -> 651.6,0,20,10000.0,0.13321666666666765
127,"[TG(56:7),]_FA16:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.98,577.0,840.8 -> 651.6,0,35,2308.0,0.0
129,"[TG(56:7),]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,812.8,651.6,12.99,689.0,812.8 -> 651.6,0,20,2754.0,0.0
130,"[TG(56:7),]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,840.8,623.6,13.73,512.0,840.8 -> 623.6,0,34,2049.0,0.0
131,"[TG(56:7),]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,812.8,623.6,13.74,5109.0,812.8 -> 623.6,0,19,41632.0,0.48848333333333294
132,"[TG(56:7),]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,840.8,623.6,13.69,671.0,840.8 -> 623.6,0,34,2684.0,0.0
133,"[TG(56:7),]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,812.8,623.6,13.78,6617.0,812.8 -> 623.6,0,19,86873.0,0.5328833333333325
134,"[TG(56:7),]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,812.8,623.6,13.74,8607.0,812.8 -> 623.6,0,19,82974.0,0.48848333333333294
135,"[TG(56:7),]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,812.8,623.6,13.74,1854.0,812.8 -> 623.6,0,19,20928.0,0.3996666666666666
136,"[TG(56:7),]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,840.8,623.6,13.69,550.0,840.8 -> 623.6,0,34,2198.0,0.0
137,"[TG(56:7),]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,812.8,623.6,13.74,5887.0,812.8 -> 623.6,0,19,68406.0,0.4884666666666675
138,"[TG(57:10),TG(56:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,848.7,631.5,17.15,711.0,848.7 -> 631.5,0,43,9606.0,0.1776333333333362
139,"[TG(57:10),TG(56:3)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,820.7,631.5,17.25,11653.0,820.7 -> 631.5,0,29,157963.0,0.3996666666666684
140,"[TG(57:10),TG(56:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,848.7,631.5,17.19,5438.0,848.7 -> 631.5,0,43,71182.0,0.2664500000000025
141,"[TG(57:10),TG(56:3)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,820.7,631.5,17.29,48679.0,820.7 -> 631.5,0,29,642419.0,0.4884833333333347
142,"[TG(57:10),TG(56:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,848.7,631.5,17.19,7002.0,848.7 -> 631.5,0,43,87480.0,0.31083333333333485
143,"[TG(57:10),TG(56:3)]_FA18:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,820.7,631.5,17.25,58396.0,820.7 -> 631.5,0,29,799599.0,0.6661000000000001
144,"[TG(57:10),TG(56:3)]_FA18:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,820.7,631.5,17.25,5382.0,820.7 -> 631.5,0,29,57269.0,0.31085000000000207
145,"[TG(57:10),TG(56:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,848.7,631.5,17.19,1102.0,848.7 -> 631.5,0,43,14855.0,0.1332333333333331
146,"[TG(57:10),TG(56:3)]_FA18:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,820.7,631.5,17.25,17373.0,820.7 -> 631.5,0,29,244106.0,0.3996666666666684
147,"[TG(57:11),TG(56:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,846.7,629.5,16.04,1822.0,846.7 -> 629.5,0,41,13920.0,0.04441666666666677
148,"[TG(57:11),TG(56:4)]_FA18:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,818.7,629.5,16.14,11524.0,818.7 -> 629.5,0,27,263036.0,0.44406666666666794
149,"[TG(57:11),TG(56:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,846.7,629.5,16.09,5846.0,846.7 -> 629.5,0,41,59714.0,0.22203333333333397
150,"[TG(57:11),TG(56:4)]_FA18:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,818.7,629.5,16.09,21789.0,818.7 -> 629.5,0,27,632601.0,0.5326166666666659
