,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Area,Area_RT,Area_Ratio,FAC,TG
143,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,794.7,605.5,16.94,6196.0,794.7 -> 605.5,0,11,34830.0,0.48848333333333116,,FA18:1,"TG(54:2), TG(55:9)"
144,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-9,794.7,605.5,17.03,3317.0,794.7 -> 605.5,0,11,37919.0,0.532866666666667,,FA18:1,"TG(54:2), TG(55:9)"
145,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-7,822.7,605.5,16.85,922.0,822.7 -> 605.5,0,20,4547.0,0.08881666666666632,6.46,FA18:1,"TG(54:2), TG(55:9)"
146,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,794.7,605.5,16.9,4539.0,794.7 -> 605.5,0,11,29352.0,0.44406666666666794,6.46,FA18:1,"TG(54:2), TG(55:9)"
147,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-7,822.7,605.5,16.85,653.0,822.7 -> 605.5,0,20,2505.0,0.04439999999999955,16.6,FA18:1,"TG(54:2), TG(55:9)"
148,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,794.7,605.5,16.85,7909.0,794.7 -> 605.5,0,11,41573.0,0.48848333333333116,16.6,FA18:1,"TG(54:2), TG(55:9)"
149,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-7,822.7,605.5,16.8,876.0,822.7 -> 605.5,0,20,2706.0,0.04439999999999955,8.95,FA18:1,"TG(54:2), TG(55:9)"
150,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-9,794.7,605.5,16.85,3978.0,794.7 -> 605.5,0,11,24225.0,0.35524999999999807,8.95,FA18:1,"TG(54:2), TG(55:9)"
151,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-10,780.7,605.5,16.95,407.0,780.7 -> 605.5,0,5,815.0,0.0,,FA18:1,"TG(54:2), TG(55:9)"
152,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-7,822.7,605.5,16.76,449.0,822.7 -> 605.5,0,20,898.0,0.0,36.19,FA18:1,"TG(54:2), TG(55:9)"
153,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-9,794.7,605.5,16.9,4789.0,794.7 -> 605.5,0,11,32495.0,0.39966666666666484,36.19,FA18:1,"TG(54:2), TG(55:9)"
154,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-7,822.7,605.5,16.8,731.0,822.7 -> 605.5,0,20,2923.0,0.044400000000003104,7.26,FA18:1,"TG(54:2), TG(55:9)"
155,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-9,794.7,605.5,16.9,3208.0,794.7 -> 605.5,0,11,21212.0,0.3996666666666684,7.26,FA18:1,"TG(54:2), TG(55:9)"
156,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F4_WT_cortex_O3on_01,n-9,794.7,605.5,16.94,1741.0,794.7 -> 605.5,0,11,11141.0,0.8881333333333323,,FA18:1,"TG(54:2), TG(55:9)"
157,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F4_WT_dienc_O3on_01,n-7,822.7,605.5,16.8,497.0,822.7 -> 605.5,0,20,994.0,0.0,26.39,FA18:1,"TG(54:2), TG(55:9)"
158,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F4_WT_dienc_O3on_01,n-9,794.7,605.5,16.9,4158.0,794.7 -> 605.5,0,11,26227.0,0.35524999999999807,26.39,FA18:1,"TG(54:2), TG(55:9)"
159,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD184_F4_WT_hippo_O3on_01,n-9,794.7,605.5,16.9,1140.0,794.7 -> 605.5,0,11,9756.0,0.3996499999999976,,FA18:1,"TG(54:2), TG(55:9)"
160,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-7,822.7,605.5,16.8,3020.0,822.7 -> 605.5,0,20,17631.0,0.22204999999999941,12.63,FA18:1,"TG(54:2), TG(55:9)"
161,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,794.7,605.5,16.85,41704.0,794.7 -> 605.5,0,11,222653.0,0.5328999999999979,12.63,FA18:1,"TG(54:2), TG(55:9)"
162,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-9,794.7,605.5,16.85,3674.0,794.7 -> 605.5,0,11,18532.0,0.17763333333333264,,FA18:1,"TG(54:2), TG(55:9)"
163,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD185_M4_WT_dienc_O3on_01,n-9,794.7,605.5,16.9,1924.0,794.7 -> 605.5,0,11,12475.0,0.26644999999999897,,FA18:1,"TG(54:2), TG(55:9)"
164,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD185_M4_WT_hippo_O3on_01,n-9,794.7,605.5,16.9,3010.0,794.7 -> 605.5,0,11,21134.0,0.5772833333333338,,FA18:1,"TG(54:2), TG(55:9)"
165,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-10,780.7,605.5,16.9,609.0,780.7 -> 605.5,0,5,1218.0,0.0,,FA18:1,"TG(54:2), TG(55:9)"
166,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-7,822.7,605.5,16.85,1003.0,822.7 -> 605.5,0,20,3891.0,0.04441666666666677,11.5,FA18:1,"TG(54:2), TG(55:9)"
167,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-9,794.7,605.5,16.9,6888.0,794.7 -> 605.5,0,11,44762.0,0.44406666666666794,11.5,FA18:1,"TG(54:2), TG(55:9)"
168,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-7,822.7,605.5,16.76,842.0,822.7 -> 605.5,0,20,4118.0,0.0887999999999991,13.88,FA18:1,"TG(54:2), TG(55:9)"
169,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-9,794.7,605.5,16.85,9039.0,794.7 -> 605.5,0,11,57155.0,0.6661000000000001,13.88,FA18:1,"TG(54:2), TG(55:9)"
170,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-7,822.7,605.5,16.8,940.0,822.7 -> 605.5,0,20,2727.0,0.04439999999999955,14.82,FA18:1,"TG(54:2), TG(55:9)"
171,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-9,794.7,605.5,16.85,5813.0,794.7 -> 605.5,0,11,40421.0,0.44406666666666794,14.82,FA18:1,"TG(54:2), TG(55:9)"
172,"[TG(55:9),TG(54:2)]_FA18:1",11282023_FAD189_M3_WT_hippo_O3on_01,n-9,794.7,605.5,16.9,1576.0,794.7 -> 605.5,0,11,10660.0,0.48848333333333116,,FA18:1,"TG(54:2), TG(55:9)"
65,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-7,820.7,603.5,15.6,577.0,820.7 -> 603.5,0,18,2238.0,0.04441666666666677,32.37,FA18:1,"TG(54:3), TG(55:10)"
66,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-9,792.7,603.5,15.7,8248.0,792.7 -> 603.5,0,10,72439.0,0.35524999999999984,32.37,FA18:1,"TG(54:3), TG(55:10)"
67,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,792.7,603.5,15.66,10377.0,792.7 -> 603.5,0,10,70826.0,0.2664333333333335,,FA18:1,"TG(54:3), TG(55:10)"
68,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-7,820.7,603.5,15.65,1241.0,820.7 -> 603.5,0,18,5688.0,0.08881666666666632,28.4,FA18:1,"TG(54:3), TG(55:10)"
69,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,792.7,603.5,15.7,23010.0,792.7 -> 603.5,0,10,161513.0,0.39965000000000117,28.4,FA18:1,"TG(54:3), TG(55:10)"
70,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-7,820.7,603.5,15.74,709.0,820.7 -> 603.5,0,18,1418.0,0.0,87.65,FA18:1,"TG(54:3), TG(55:10)"
71,"[TG(55:10),TG(54:3)]_FA18:1",11282023_DOD94_F3_WT_hippo_O3on_01,n-9,792.7,603.5,15.79,8977.0,792.7 -> 603.5,0,10,124282.0,0.6661000000000019,87.65,FA18:1,"TG(54:3), TG(55:10)"
72,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-7,820.7,603.5,15.56,1076.0,820.7 -> 603.5,0,18,7910.0,0.1776166666666672,11.71,FA18:1,"TG(54:3), TG(55:10)"
73,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,11069.0,792.7 -> 603.5,0,10,92661.0,0.35526666666666706,11.71,FA18:1,"TG(54:3), TG(55:10)"
74,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-7,820.7,603.5,15.56,2337.0,820.7 -> 603.5,0,18,10791.0,0.13321666666666765,18.04,FA18:1,"TG(54:3), TG(55:10)"
75,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,792.7,603.5,15.61,33073.0,792.7 -> 603.5,0,10,194674.0,0.35524999999999984,18.04,FA18:1,"TG(54:3), TG(55:10)"
76,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-7,820.7,603.5,15.56,648.0,820.7 -> 603.5,0,18,2976.0,0.1776166666666672,23.78,FA18:1,"TG(54:3), TG(55:10)"
77,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-9,792.7,603.5,15.66,9687.0,792.7 -> 603.5,0,10,70769.0,0.2664333333333335,23.78,FA18:1,"TG(54:3), TG(55:10)"
78,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-7,820.7,603.5,15.56,728.0,820.7 -> 603.5,0,18,3655.0,0.08881666666666632,22.11,FA18:1,"TG(54:3), TG(55:10)"
79,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-9,792.7,603.5,15.66,9171.0,792.7 -> 603.5,0,10,80801.0,0.3996499999999994,22.11,FA18:1,"TG(54:3), TG(55:10)"
80,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-7,820.7,603.5,15.56,673.0,820.7 -> 603.5,0,18,3574.0,0.08881666666666632,22.96,FA18:1,"TG(54:3), TG(55:10)"
81,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-9,792.7,603.5,15.66,12847.0,792.7 -> 603.5,0,10,82067.0,0.35524999999999984,22.96,FA18:1,"TG(54:3), TG(55:10)"
82,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_cortex_O3on_01,n-9,792.7,603.5,15.66,3957.0,792.7 -> 603.5,0,10,31082.0,0.17761666666666542,,FA18:1,"TG(54:3), TG(55:10)"
83,"[TG(55:10),TG(54:3)]_FA18:1",11282023_FAD184_F4_WT_dienc_O3on_01,n-9,792.7,603.5,15.66,8381.0,792.7 -> 603.5,0,10,62344.0,0.26645000000000074,,FA18:1,"TG(54:3), TG(55:10)"
