,Biology,Cage,Correct_RT,Genotype,Group_Sample,Lipid,Match_Group,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
10,cereb,FAD185,12.0,5xFAD,365.0,[TG(52:5)]_FA16:1,2868.0,M3,[TG(52:5)]_FA16:1-FAD185-M3-5xFAD-cereb,17269.140625,870.8,599.5,12.0,11292023_FAD185_M3_5xFAD_cereb_O3on_01,870.8 -> 599.5
11,dienc,FAD185,12.0,5xFAD,425.0,[TG(52:5)]_FA16:1,2870.0,M3,[TG(52:5)]_FA16:1-FAD185-M3-5xFAD-dienc,11179.4404296875,870.8,599.5,12.0,11292023_FAD185_M3_5xFAD_dienc_O3on_01,870.8 -> 599.5
12,cereb,FAD189,12.31,5xFAD,485.0,[TG(52:5)]_FA16:1,2872.0,M1,[TG(52:5)]_FA16:1-FAD189-M1-5xFAD-cereb,18358.361328125,870.8,599.5,12.31,11292023_FAD189_M1_5xFAD_cereb_O3on_01,870.8 -> 599.5
13,cortex,FAD189,12.26,5xFAD,515.0,[TG(52:5)]_FA16:1,2873.0,M1,[TG(52:5)]_FA16:1-FAD189-M1-5xFAD-cortex,20473.30078125,870.8,599.5,12.26,11292023_FAD189_M1_5xFAD_cortex_O3on_01,870.8 -> 599.5
14,cortex,FAD189,12.26,5xFAD,635.0,[TG(52:5)]_FA16:1,2877.0,M2,[TG(52:5)]_FA16:1-FAD189-M2-5xFAD-cortex,4374.68017578125,870.8,599.5,12.0,11292023_FAD189_M2_5xFAD_cortex_O3on_01,870.8 -> 599.5
15,cereb,FAD185,10.84,5xFAD,366.0,[TG(52:6)]_FA18:2,2796.0,M3,[TG(52:6)]_FA18:2-FAD185-M3-5xFAD-cereb,1622.580078125,868.8,571.5,10.84,11292023_FAD185_M3_5xFAD_cereb_O3on_01,868.8 -> 571.5
16,dienc,FAD185,10.89,5xFAD,426.0,[TG(52:6)]_FA18:2,2798.0,M3,[TG(52:6)]_FA18:2-FAD185-M3-5xFAD-dienc,1629.2401123046875,868.8,571.5,10.89,11292023_FAD185_M3_5xFAD_dienc_O3on_01,868.8 -> 571.5
17,cereb,DOD93,13.46,5xFAD,9.0,[TG(54:5)]_FA18:1,2976.0,F4,[TG(54:5)]_FA18:1-DOD93-F4-5xFAD-cereb,2280.580078125,898.8,599.5,13.46,11292023_DOD93_F4_5xFAD_cereb_O3on_01,898.8 -> 599.5
18,cortex,DOD93,13.55,5xFAD,39.0,[TG(54:5)]_FA18:1,2977.0,F4,[TG(54:5)]_FA18:1-DOD93-F4-5xFAD-cortex,3103.860107421875,898.8,599.5,13.55,11292023_DOD93_F4_5xFAD_cortex_O3on_01,898.8 -> 599.5
19,dienc,DOD93,13.55,5xFAD,69.0,[TG(54:5)]_FA18:1,2978.0,F4,[TG(54:5)]_FA18:1-DOD93-F4-5xFAD-dienc,2263.460205078125,898.8,599.5,13.55,11292023_DOD93_F4_5xFAD_dienc_O3on_01,898.8 -> 599.5
20,hippo,DOD93,13.64,5xFAD,99.0,[TG(54:5)]_FA18:1,2979.0,F4,[TG(54:5)]_FA18:1-DOD93-F4-5xFAD-hippo,1654.7200927734375,898.8,599.5,13.64,11292023_DOD93_F4_5xFAD_hippo_O3on_01,898.8 -> 599.5
21,cereb,DOD94,13.46,5xFAD,129.0,[TG(54:5)]_FA18:1,2980.0,F4,[TG(54:5)]_FA18:1-DOD94-F4-5xFAD-cereb,10978.0205078125,898.8,599.5,13.46,11292023_DOD94_F4_5xFAD_cereb_O3on_01,898.8 -> 599.5
22,cortex,DOD94,13.51,5xFAD,159.0,[TG(54:5)]_FA18:1,2981.0,F4,[TG(54:5)]_FA18:1-DOD94-F4-5xFAD-cortex,5046.900390625,898.8,599.5,13.51,11292023_DOD94_F4_5xFAD_cortex_O3on_01,898.8 -> 599.5
23,dienc,DOD94,13.51,5xFAD,189.0,[TG(54:5)]_FA18:1,2982.0,F4,[TG(54:5)]_FA18:1-DOD94-F4-5xFAD-dienc,1048.9600830078125,898.8,599.5,13.51,11292023_DOD94_F4_5xFAD_dienc_O3on_01,898.8 -> 599.5
24,hippo,DOD94,13.73,5xFAD,219.0,[TG(54:5)]_FA18:1,2983.0,F4,[TG(54:5)]_FA18:1-DOD94-F4-5xFAD-hippo,859.300048828125,898.8,599.5,13.73,11292023_DOD94_F4_5xFAD_hippo_O3on_01,898.8 -> 599.5
25,cereb,FAD185,13.28,5xFAD,249.0,[TG(54:5)]_FA18:1,2984.0,M1,[TG(54:5)]_FA18:1-FAD185-M1-5xFAD-cereb,9124.7607421875,898.8,599.5,13.46,11292023_FAD185_M1_5xFAD_cereb_O3on_01,898.8 -> 599.5
26,cortex,FAD185,13.46,5xFAD,279.0,[TG(54:5)]_FA18:1,2985.0,M1,[TG(54:5)]_FA18:1-FAD185-M1-5xFAD-cortex,12759.4013671875,898.8,599.5,13.46,11292023_FAD185_M1_5xFAD_cortex_O3on_01,898.8 -> 599.5
27,dienc,FAD185,13.24,5xFAD,309.0,[TG(54:5)]_FA18:1,2986.0,M1,[TG(54:5)]_FA18:1-FAD185-M1-5xFAD-dienc,3481.060302734375,898.8,599.5,13.46,11292023_FAD185_M1_5xFAD_dienc_O3on_01,898.8 -> 599.5
28,hippo,FAD185,13.28,5xFAD,339.0,[TG(54:5)]_FA18:1,2987.0,M1,[TG(54:5)]_FA18:1-FAD185-M1-5xFAD-hippo,2296.68017578125,898.8,599.5,13.51,11292023_FAD185_M1_5xFAD_hippo_O3on_01,898.8 -> 599.5
29,cereb,FAD185,13.28,5xFAD,369.0,[TG(54:5)]_FA18:1,2988.0,M3,[TG(54:5)]_FA18:1-FAD185-M3-5xFAD-cereb,120807.53125,898.8,599.5,13.28,11292023_FAD185_M3_5xFAD_cereb_O3on_01,898.8 -> 599.5
30,cortex,FAD185,13.46,5xFAD,399.0,[TG(54:5)]_FA18:1,2989.0,M3,[TG(54:5)]_FA18:1-FAD185-M3-5xFAD-cortex,218.48001098632812,898.8,599.5,14.13,11292023_FAD185_M3_5xFAD_cortex_O3on_01,898.8 -> 599.5
31,dienc,FAD185,13.24,5xFAD,429.0,[TG(54:5)]_FA18:1,2990.0,M3,[TG(54:5)]_FA18:1-FAD185-M3-5xFAD-dienc,99740.3671875,898.8,599.5,13.24,11292023_FAD185_M3_5xFAD_dienc_O3on_01,898.8 -> 599.5
32,hippo,FAD185,13.28,5xFAD,459.0,[TG(54:5)]_FA18:1,2991.0,M3,[TG(54:5)]_FA18:1-FAD185-M3-5xFAD-hippo,28471.22265625,898.8,599.5,13.28,11292023_FAD185_M3_5xFAD_hippo_O3on_01,898.8 -> 599.5
33,cereb,FAD189,13.51,5xFAD,489.0,[TG(54:5)]_FA18:1,2992.0,M1,[TG(54:5)]_FA18:1-FAD189-M1-5xFAD-cereb,79274.984375,898.8,599.5,13.51,11292023_FAD189_M1_5xFAD_cereb_O3on_01,898.8 -> 599.5
34,cortex,FAD189,13.51,5xFAD,519.0,[TG(54:5)]_FA18:1,2993.0,M1,[TG(54:5)]_FA18:1-FAD189-M1-5xFAD-cortex,112528.53125,898.8,599.5,13.51,11292023_FAD189_M1_5xFAD_cortex_O3on_01,898.8 -> 599.5
35,dienc,FAD189,13.51,5xFAD,549.0,[TG(54:5)]_FA18:1,2994.0,M1,[TG(54:5)]_FA18:1-FAD189-M1-5xFAD-dienc,16885.58203125,898.8,599.5,13.51,11292023_FAD189_M1_5xFAD_dienc_O3on_01,898.8 -> 599.5
36,hippo,FAD189,13.59,5xFAD,579.0,[TG(54:5)]_FA18:1,2995.0,M1,[TG(54:5)]_FA18:1-FAD189-M1-5xFAD-hippo,2722.64013671875,898.8,599.5,13.59,11292023_FAD189_M1_5xFAD_hippo_O3on_01,898.8 -> 599.5
37,cereb,FAD189,13.51,5xFAD,609.0,[TG(54:5)]_FA18:1,2996.0,M2,[TG(54:5)]_FA18:1-FAD189-M2-5xFAD-cereb,75472.265625,898.8,599.5,13.19,11292023_FAD189_M2_5xFAD_cereb_O3on_01,898.8 -> 599.5
38,cortex,FAD189,13.51,5xFAD,639.0,[TG(54:5)]_FA18:1,2997.0,M2,[TG(54:5)]_FA18:1-FAD189-M2-5xFAD-cortex,18599.322265625,898.8,599.5,13.24,11292023_FAD189_M2_5xFAD_cortex_O3on_01,898.8 -> 599.5
39,dienc,FAD189,13.51,5xFAD,669.0,[TG(54:5)]_FA18:1,2998.0,M2,[TG(54:5)]_FA18:1-FAD189-M2-5xFAD-dienc,399.5000305175781,898.8,599.5,13.99,11292023_FAD189_M2_5xFAD_dienc_O3on_01,898.8 -> 599.5
40,hippo,FAD189,13.59,5xFAD,699.0,[TG(54:5)]_FA18:1,2999.0,M2,[TG(54:5)]_FA18:1-FAD189-M2-5xFAD-hippo,1430.9801025390625,898.8,599.5,13.28,11292023_FAD189_M2_5xFAD_hippo_O3on_01,898.8 -> 599.5
41,cereb,FAD185,12.13,5xFAD,370.0,[TG(54:6)]_FA18:1,2964.0,M3,[TG(54:6)]_FA18:1-FAD185-M3-5xFAD-cereb,12511.361328125,896.8,597.5,12.13,11292023_FAD185_M3_5xFAD_cereb_O3on_01,896.8 -> 597.5
42,dienc,FAD185,12.17,5xFAD,430.0,[TG(54:6)]_FA18:1,2966.0,M3,[TG(54:6)]_FA18:1-FAD185-M3-5xFAD-dienc,4601.50048828125,896.8,597.5,12.17,11292023_FAD185_M3_5xFAD_dienc_O3on_01,896.8 -> 597.5
43,cereb,FAD189,12.44,5xFAD,490.0,[TG(54:6)]_FA18:1,2968.0,M1,[TG(54:6)]_FA18:1-FAD189-M1-5xFAD-cereb,9348.0009765625,896.8,597.5,12.44,11292023_FAD189_M1_5xFAD_cereb_O3on_01,896.8 -> 597.5
44,cortex,FAD189,12.4,5xFAD,520.0,[TG(54:6)]_FA18:1,2969.0,M1,[TG(54:6)]_FA18:1-FAD189-M1-5xFAD-cortex,14012.8408203125,896.8,597.5,12.4,11292023_FAD189_M1_5xFAD_cortex_O3on_01,896.8 -> 597.5
45,cortex,FAD189,12.4,5xFAD,640.0,[TG(54:6)]_FA18:1,2973.0,M2,[TG(54:6)]_FA18:1-FAD189-M2-5xFAD-cortex,1527.66015625,896.8,597.5,12.13,11292023_FAD189_M2_5xFAD_cortex_O3on_01,896.8 -> 597.5
46,cereb,DOD93,15.86,5xFAD,11.0,"[TG(55:10),TG(54:3)]_FA18:1",3048.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD93-F4-5xFAD-cereb",22649.021484375,902.8,603.5,15.86,11292023_DOD93_F4_5xFAD_cereb_O3on_01,902.8 -> 603.5
47,cortex,DOD93,15.86,5xFAD,41.0,"[TG(55:10),TG(54:3)]_FA18:1",3049.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD93-F4-5xFAD-cortex",31650.76171875,902.8,603.5,15.86,11292023_DOD93_F4_5xFAD_cortex_O3on_01,902.8 -> 603.5
48,dienc,DOD93,15.86,5xFAD,71.0,"[TG(55:10),TG(54:3)]_FA18:1",3050.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD93-F4-5xFAD-dienc",34820.40234375,902.8,603.5,15.86,11292023_DOD93_F4_5xFAD_dienc_O3on_01,902.8 -> 603.5
49,hippo,DOD93,15.81,5xFAD,101.0,"[TG(55:10),TG(54:3)]_FA18:1",3051.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD93-F4-5xFAD-hippo",28988.982421875,902.8,603.5,15.81,11292023_DOD93_F4_5xFAD_hippo_O3on_01,902.8 -> 603.5
50,cereb,DOD94,15.81,5xFAD,131.0,"[TG(55:10),TG(54:3)]_FA18:1",3052.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD94-F4-5xFAD-cereb",52180.36328125,902.8,603.5,15.81,11292023_DOD94_F4_5xFAD_cereb_O3on_01,902.8 -> 603.5
51,cortex,DOD94,15.86,5xFAD,161.0,"[TG(55:10),TG(54:3)]_FA18:1",3053.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD94-F4-5xFAD-cortex",39584.203125,902.8,603.5,15.86,11292023_DOD94_F4_5xFAD_cortex_O3on_01,902.8 -> 603.5
52,dienc,DOD94,15.86,5xFAD,191.0,"[TG(55:10),TG(54:3)]_FA18:1",3054.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD94-F4-5xFAD-dienc",28385.04296875,902.8,603.5,15.86,11292023_DOD94_F4_5xFAD_dienc_O3on_01,902.8 -> 603.5
53,hippo,DOD94,15.9,5xFAD,221.0,"[TG(55:10),TG(54:3)]_FA18:1",3055.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD94-F4-5xFAD-hippo",22736.44140625,902.8,603.5,15.9,11292023_DOD94_F4_5xFAD_hippo_O3on_01,902.8 -> 603.5
54,cereb,FAD185,15.64,5xFAD,251.0,"[TG(55:10),TG(54:3)]_FA18:1",3056.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M1-5xFAD-cereb",30749.642578125,902.8,603.5,15.86,11292023_FAD185_M1_5xFAD_cereb_O3on_01,902.8 -> 603.5
55,cortex,FAD185,15.86,5xFAD,281.0,"[TG(55:10),TG(54:3)]_FA18:1",3057.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M1-5xFAD-cortex",31123.2421875,902.8,603.5,15.86,11292023_FAD185_M1_5xFAD_cortex_O3on_01,902.8 -> 603.5
56,dienc,FAD185,15.64,5xFAD,311.0,"[TG(55:10),TG(54:3)]_FA18:1",3058.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M1-5xFAD-dienc",26312.62109375,902.8,603.5,15.86,11292023_FAD185_M1_5xFAD_dienc_O3on_01,902.8 -> 603.5
57,hippo,FAD185,15.64,5xFAD,341.0,"[TG(55:10),TG(54:3)]_FA18:1",3059.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M1-5xFAD-hippo",26555.28125,902.8,603.5,15.86,11292023_FAD185_M1_5xFAD_hippo_O3on_01,902.8 -> 603.5
58,cereb,FAD185,15.64,5xFAD,371.0,"[TG(55:10),TG(54:3)]_FA18:1",3060.0,M3,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M3-5xFAD-cereb",356687.71875,902.8,603.5,15.64,11292023_FAD185_M3_5xFAD_cereb_O3on_01,902.8 -> 603.5
59,cortex,FAD185,15.86,5xFAD,401.0,"[TG(55:10),TG(54:3)]_FA18:1",3061.0,M3,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M3-5xFAD-cortex",309.58001708984375,902.8,603.5,16.26,11292023_FAD185_M3_5xFAD_cortex_O3on_01,902.8 -> 603.5
60,dienc,FAD185,15.64,5xFAD,431.0,"[TG(55:10),TG(54:3)]_FA18:1",3062.0,M3,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M3-5xFAD-dienc",208101.390625,902.8,603.5,15.64,11292023_FAD185_M3_5xFAD_dienc_O3on_01,902.8 -> 603.5
61,hippo,FAD185,15.64,5xFAD,461.0,"[TG(55:10),TG(54:3)]_FA18:1",3063.0,M3,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M3-5xFAD-hippo",55074.78515625,902.8,603.5,15.64,11292023_FAD185_M3_5xFAD_hippo_O3on_01,902.8 -> 603.5
62,cereb,FAD189,15.59,5xFAD,491.0,"[TG(55:10),TG(54:3)]_FA18:1",3064.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M1-5xFAD-cereb",116752.3671875,902.8,603.5,15.86,11292023_FAD189_M1_5xFAD_cereb_O3on_01,902.8 -> 603.5
63,cortex,FAD189,15.86,5xFAD,521.0,"[TG(55:10),TG(54:3)]_FA18:1",3065.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M1-5xFAD-cortex",165911.6875,902.8,603.5,15.86,11292023_FAD189_M1_5xFAD_cortex_O3on_01,902.8 -> 603.5
64,dienc,FAD189,15.64,5xFAD,551.0,"[TG(55:10),TG(54:3)]_FA18:1",3066.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M1-5xFAD-dienc",29560.701171875,902.8,603.5,15.95,11292023_FAD189_M1_5xFAD_dienc_O3on_01,902.8 -> 603.5
65,hippo,FAD189,15.9,5xFAD,581.0,"[TG(55:10),TG(54:3)]_FA18:1",3067.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M1-5xFAD-hippo",24135.662109375,902.8,603.5,15.9,11292023_FAD189_M1_5xFAD_hippo_O3on_01,902.8 -> 603.5
66,cereb,FAD189,15.59,5xFAD,611.0,"[TG(55:10),TG(54:3)]_FA18:1",3068.0,M2,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M2-5xFAD-cereb",238764.84375,902.8,603.5,15.59,11292023_FAD189_M2_5xFAD_cereb_O3on_01,902.8 -> 603.5
67,cortex,FAD189,15.86,5xFAD,641.0,"[TG(55:10),TG(54:3)]_FA18:1",3069.0,M2,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M2-5xFAD-cortex",42008.421875,902.8,603.5,15.64,11292023_FAD189_M2_5xFAD_cortex_O3on_01,902.8 -> 603.5
68,dienc,FAD189,15.64,5xFAD,671.0,"[TG(55:10),TG(54:3)]_FA18:1",3070.0,M2,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M2-5xFAD-dienc",70687.203125,902.8,603.5,15.64,11292023_FAD189_M2_5xFAD_dienc_O3on_01,902.8 -> 603.5
69,hippo,FAD189,15.9,5xFAD,701.0,"[TG(55:10),TG(54:3)]_FA18:1",3071.0,M2,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M2-5xFAD-hippo",11359.380859375,902.8,603.5,15.64,11292023_FAD189_M2_5xFAD_hippo_O3on_01,902.8 -> 603.5
70,dienc,FAD185,14.44,5xFAD,432.0,"[TG(55:11),TG(54:4)]_FA16:1",3038.0,M3,"[TG(55:11),TG(54:4)]_FA16:1-FAD185-M3-5xFAD-dienc",826.0000610351562,900.8,629.5,14.44,11292023_FAD185_M3_5xFAD_dienc_O3on_01,900.8 -> 629.5
71,cereb,DOD93,14.66,5xFAD,13.0,"[TG(55:11),TG(54:4)]_FA18:1",3000.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD93-F4-5xFAD-cereb",4855.400390625,900.8,601.5,14.66,11292023_DOD93_F4_5xFAD_cereb_O3on_01,900.8 -> 601.5
72,cortex,DOD93,14.66,5xFAD,43.0,"[TG(55:11),TG(54:4)]_FA18:1",3001.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD93-F4-5xFAD-cortex",10211.9609375,900.8,601.5,14.66,11292023_DOD93_F4_5xFAD_cortex_O3on_01,900.8 -> 601.5
73,dienc,DOD93,14.7,5xFAD,73.0,"[TG(55:11),TG(54:4)]_FA18:1",3002.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD93-F4-5xFAD-dienc",8831.3408203125,900.8,601.5,14.7,11292023_DOD93_F4_5xFAD_dienc_O3on_01,900.8 -> 601.5
74,hippo,DOD93,14.7,5xFAD,103.0,"[TG(55:11),TG(54:4)]_FA18:1",3003.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD93-F4-5xFAD-hippo",5340.00048828125,900.8,601.5,14.7,11292023_DOD93_F4_5xFAD_hippo_O3on_01,900.8 -> 601.5
75,cereb,DOD94,14.66,5xFAD,133.0,"[TG(55:11),TG(54:4)]_FA18:1",3004.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD94-F4-5xFAD-cereb",37219.3828125,900.8,601.5,14.66,11292023_DOD94_F4_5xFAD_cereb_O3on_01,900.8 -> 601.5
76,cortex,DOD94,14.7,5xFAD,163.0,"[TG(55:11),TG(54:4)]_FA18:1",3005.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD94-F4-5xFAD-cortex",15265.720703125,900.8,601.5,14.7,11292023_DOD94_F4_5xFAD_cortex_O3on_01,900.8 -> 601.5
77,dienc,DOD94,14.7,5xFAD,193.0,"[TG(55:11),TG(54:4)]_FA18:1",3006.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD94-F4-5xFAD-dienc",4422.18017578125,900.8,601.5,14.7,11292023_DOD94_F4_5xFAD_dienc_O3on_01,900.8 -> 601.5
78,hippo,DOD94,14.7,5xFAD,223.0,"[TG(55:11),TG(54:4)]_FA18:1",3007.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD94-F4-5xFAD-hippo",3915.26025390625,900.8,601.5,14.7,11292023_DOD94_F4_5xFAD_hippo_O3on_01,900.8 -> 601.5
79,cereb,FAD185,14.48,5xFAD,253.0,"[TG(55:11),TG(54:4)]_FA18:1",3008.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M1-5xFAD-cereb",16998.4609375,900.8,601.5,14.66,11292023_FAD185_M1_5xFAD_cereb_O3on_01,900.8 -> 601.5
80,cortex,FAD185,14.66,5xFAD,283.0,"[TG(55:11),TG(54:4)]_FA18:1",3009.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M1-5xFAD-cortex",26375.78125,900.8,601.5,14.66,11292023_FAD185_M1_5xFAD_cortex_O3on_01,900.8 -> 601.5
81,dienc,FAD185,14.48,5xFAD,313.0,"[TG(55:11),TG(54:4)]_FA18:1",3010.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M1-5xFAD-dienc",9942.12109375,900.8,601.5,14.66,11292023_FAD185_M1_5xFAD_dienc_O3on_01,900.8 -> 601.5
82,hippo,FAD185,14.48,5xFAD,343.0,"[TG(55:11),TG(54:4)]_FA18:1",3011.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M1-5xFAD-hippo",5923.96044921875,900.8,601.5,14.7,11292023_FAD185_M1_5xFAD_hippo_O3on_01,900.8 -> 601.5
83,cereb,FAD185,14.48,5xFAD,373.0,"[TG(55:11),TG(54:4)]_FA18:1",3012.0,M3,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M3-5xFAD-cereb",296251.15625,900.8,601.5,14.48,11292023_FAD185_M3_5xFAD_cereb_O3on_01,900.8 -> 601.5
84,cortex,FAD185,14.66,5xFAD,403.0,"[TG(55:11),TG(54:4)]_FA18:1",3013.0,M3,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M3-5xFAD-cortex",336.8600158691406,900.8,601.5,15.15,11292023_FAD185_M3_5xFAD_cortex_O3on_01,900.8 -> 601.5
85,dienc,FAD185,14.48,5xFAD,433.0,"[TG(55:11),TG(54:4)]_FA18:1",3014.0,M3,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M3-5xFAD-dienc",256671.9375,900.8,601.5,14.48,11292023_FAD185_M3_5xFAD_dienc_O3on_01,900.8 -> 601.5
86,hippo,FAD185,14.48,5xFAD,463.0,"[TG(55:11),TG(54:4)]_FA18:1",3015.0,M3,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M3-5xFAD-hippo",79600.921875,900.8,601.5,14.48,11292023_FAD185_M3_5xFAD_hippo_O3on_01,900.8 -> 601.5
87,cereb,FAD189,14.44,5xFAD,493.0,"[TG(55:11),TG(54:4)]_FA18:1",3016.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M1-5xFAD-cereb",167657.8125,900.8,601.5,14.7,11292023_FAD189_M1_5xFAD_cereb_O3on_01,900.8 -> 601.5
88,cortex,FAD189,14.7,5xFAD,523.0,"[TG(55:11),TG(54:4)]_FA18:1",3017.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M1-5xFAD-cortex",204446.03125,900.8,601.5,14.7,11292023_FAD189_M1_5xFAD_cortex_O3on_01,900.8 -> 601.5
89,dienc,FAD189,14.48,5xFAD,553.0,"[TG(55:11),TG(54:4)]_FA18:1",3018.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M1-5xFAD-dienc",31507.841796875,900.8,601.5,14.7,11292023_FAD189_M1_5xFAD_dienc_O3on_01,900.8 -> 601.5
90,hippo,FAD189,14.7,5xFAD,583.0,"[TG(55:11),TG(54:4)]_FA18:1",3019.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M1-5xFAD-hippo",8725.0205078125,900.8,601.5,14.7,11292023_FAD189_M1_5xFAD_hippo_O3on_01,900.8 -> 601.5
91,cereb,FAD189,14.44,5xFAD,613.0,"[TG(55:11),TG(54:4)]_FA18:1",3020.0,M2,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M2-5xFAD-cereb",180085.734375,900.8,601.5,14.44,11292023_FAD189_M2_5xFAD_cereb_O3on_01,900.8 -> 601.5
