,Biology,Cage,Correct_RT,Genotype,Group_Sample,Lipid,Match_Group,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
39,liver,FAD131,15.01,5xFAD,103.0,"[TG(55:11),TG(54:4)]_FA18:1",628.0,M4,"[TG(55:11),TG(54:4)]_FA18:1-FAD131-M4-5xFAD-liver",355373.53125,900.8,601.5,15.06,12012023_FAD131_M4_5xFAD_liver_O3on_01,900.8 -> 601.5
40,liver,FAD173,15.01,5xFAD,133.0,"[TG(55:11),TG(54:4)]_FA18:1",629.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD173-M1-5xFAD-liver",469983.28125,900.8,601.5,15.01,12012023_FAD173_M1_5xFAD_liver_O3on_01,900.8 -> 601.5
41,liver,DOD73,18.57,5xFAD,15.0,"[TG(55:8),TG(54:1)]_FA18:1",645.0,M2,"[TG(55:8),TG(54:1)]_FA18:1-DOD73-M2-5xFAD-liver",37852.50390625,906.8,607.5,18.57,12012023_DOD73_M2_5xFAD_liver_O3on_01,906.8 -> 607.5
42,liver,FAD131,18.57,5xFAD,45.0,"[TG(55:8),TG(54:1)]_FA18:1",646.0,M1,"[TG(55:8),TG(54:1)]_FA18:1-FAD131-M1-5xFAD-liver",66010.484375,906.8,607.5,18.57,12012023_FAD131_M1_5xFAD_liver_O3on_01,906.8 -> 607.5
43,liver,FAD131,18.57,5xFAD,75.0,"[TG(55:8),TG(54:1)]_FA18:1",647.0,M2,"[TG(55:8),TG(54:1)]_FA18:1-FAD131-M2-5xFAD-liver",101080.5234375,906.8,607.5,18.57,12012023_FAD131_M2_5xFAD_liver_O3on_01,906.8 -> 607.5
44,liver,FAD131,18.57,5xFAD,105.0,"[TG(55:8),TG(54:1)]_FA18:1",648.0,M4,"[TG(55:8),TG(54:1)]_FA18:1-FAD131-M4-5xFAD-liver",8380.4609375,906.8,607.5,17.41,12012023_FAD131_M4_5xFAD_liver_O3on_01,906.8 -> 607.5
45,liver,FAD173,18.57,5xFAD,135.0,"[TG(55:8),TG(54:1)]_FA18:1",649.0,M1,"[TG(55:8),TG(54:1)]_FA18:1-FAD173-M1-5xFAD-liver",34545.703125,906.8,607.5,18.57,12012023_FAD173_M1_5xFAD_liver_O3on_01,906.8 -> 607.5
46,liver,DOD73,17.41,5xFAD,16.0,"[TG(55:9),TG(54:2)]_FA18:1",640.0,M2,"[TG(55:9),TG(54:2)]_FA18:1-DOD73-M2-5xFAD-liver",295944.90625,904.8,605.5,17.41,12012023_DOD73_M2_5xFAD_liver_O3on_01,904.8 -> 605.5
47,liver,FAD131,17.41,5xFAD,46.0,"[TG(55:9),TG(54:2)]_FA18:1",641.0,M1,"[TG(55:9),TG(54:2)]_FA18:1-FAD131-M1-5xFAD-liver",369514.9375,904.8,605.5,17.46,12012023_FAD131_M1_5xFAD_liver_O3on_01,904.8 -> 605.5
48,liver,FAD131,17.41,5xFAD,76.0,"[TG(55:9),TG(54:2)]_FA18:1",642.0,M2,"[TG(55:9),TG(54:2)]_FA18:1-FAD131-M2-5xFAD-liver",434292.0,904.8,605.5,17.41,12012023_FAD131_M2_5xFAD_liver_O3on_01,904.8 -> 605.5
49,liver,FAD131,17.41,5xFAD,106.0,"[TG(55:9),TG(54:2)]_FA18:1",643.0,M4,"[TG(55:9),TG(54:2)]_FA18:1-FAD131-M4-5xFAD-liver",108420.3515625,904.8,605.5,17.41,12012023_FAD131_M4_5xFAD_liver_O3on_01,904.8 -> 605.5
50,liver,FAD173,17.41,5xFAD,136.0,"[TG(55:9),TG(54:2)]_FA18:1",644.0,M1,"[TG(55:9),TG(54:2)]_FA18:1-FAD173-M1-5xFAD-liver",261163.296875,904.8,605.5,17.41,12012023_FAD173_M1_5xFAD_liver_O3on_01,904.8 -> 605.5
51,liver,DOD73,16.7,5xFAD,17.0,"[TG(56:10),TG(55:3)]_FA18:1",660.0,M2,"[TG(56:10),TG(55:3)]_FA18:1-DOD73-M2-5xFAD-liver",5958.38037109375,916.8,617.5,16.7,12012023_DOD73_M2_5xFAD_liver_O3on_01,916.8 -> 617.5
52,liver,FAD131,16.74,5xFAD,47.0,"[TG(56:10),TG(55:3)]_FA18:1",661.0,M1,"[TG(56:10),TG(55:3)]_FA18:1-FAD131-M1-5xFAD-liver",21667.80078125,916.8,617.5,16.79,12012023_FAD131_M1_5xFAD_liver_O3on_01,916.8 -> 617.5
53,liver,FAD131,16.74,5xFAD,77.0,"[TG(56:10),TG(55:3)]_FA18:1",662.0,M2,"[TG(56:10),TG(55:3)]_FA18:1-FAD131-M2-5xFAD-liver",33599.7421875,916.8,617.5,16.74,12012023_FAD131_M2_5xFAD_liver_O3on_01,916.8 -> 617.5
54,liver,FAD131,16.74,5xFAD,107.0,"[TG(56:10),TG(55:3)]_FA18:1",663.0,M4,"[TG(56:10),TG(55:3)]_FA18:1-FAD131-M4-5xFAD-liver",3020.16015625,916.8,617.5,16.74,12012023_FAD131_M4_5xFAD_liver_O3on_01,916.8 -> 617.5
55,liver,FAD173,16.79,5xFAD,137.0,"[TG(56:10),TG(55:3)]_FA18:1",664.0,M1,"[TG(56:10),TG(55:3)]_FA18:1-FAD173-M1-5xFAD-liver",6790.720703125,916.8,617.5,16.79,12012023_FAD173_M1_5xFAD_liver_O3on_01,916.8 -> 617.5
56,liver,DOD73,15.59,5xFAD,18.0,"[TG(56:11),TG(55:4)]_FA18:1",655.0,M2,"[TG(56:11),TG(55:4)]_FA18:1-DOD73-M2-5xFAD-liver",2949.2802734375,914.8,615.5,15.59,12012023_DOD73_M2_5xFAD_liver_O3on_01,914.8 -> 615.5
57,liver,FAD131,15.59,5xFAD,48.0,"[TG(56:11),TG(55:4)]_FA18:1",656.0,M1,"[TG(56:11),TG(55:4)]_FA18:1-FAD131-M1-5xFAD-liver",9084.66015625,914.8,615.5,15.63,12012023_FAD131_M1_5xFAD_liver_O3on_01,914.8 -> 615.5
58,liver,FAD131,15.59,5xFAD,78.0,"[TG(56:11),TG(55:4)]_FA18:1",657.0,M2,"[TG(56:11),TG(55:4)]_FA18:1-FAD131-M2-5xFAD-liver",11627.9609375,914.8,615.5,15.59,12012023_FAD131_M2_5xFAD_liver_O3on_01,914.8 -> 615.5
59,liver,FAD131,15.59,5xFAD,108.0,"[TG(56:11),TG(55:4)]_FA18:1",658.0,M4,"[TG(56:11),TG(55:4)]_FA18:1-FAD131-M4-5xFAD-liver",2575.580078125,914.8,615.5,15.63,12012023_FAD131_M4_5xFAD_liver_O3on_01,914.8 -> 615.5
60,liver,FAD173,15.63,5xFAD,138.0,"[TG(56:11),TG(55:4)]_FA18:1",659.0,M1,"[TG(56:11),TG(55:4)]_FA18:1-FAD173-M1-5xFAD-liver",4422.66015625,914.8,615.5,15.63,12012023_FAD173_M1_5xFAD_liver_O3on_01,914.8 -> 615.5
61,liver,DOD73,14.35,5xFAD,19.0,[TG(56:6)]_FA18:1,675.0,M2,[TG(56:6)]_FA18:1-DOD73-M2-5xFAD-liver,23499.421875,924.8,625.5,14.35,12012023_DOD73_M2_5xFAD_liver_O3on_01,924.8 -> 625.5
62,liver,FAD131,14.43,5xFAD,49.0,[TG(56:6)]_FA18:1,676.0,M1,[TG(56:6)]_FA18:1-FAD131-M1-5xFAD-liver,35149.18359375,924.8,625.5,14.39,12012023_FAD131_M1_5xFAD_liver_O3on_01,924.8 -> 625.5
63,liver,FAD131,14.43,5xFAD,79.0,[TG(56:6)]_FA18:1,677.0,M2,[TG(56:6)]_FA18:1-FAD131-M2-5xFAD-liver,37674.421875,924.8,625.5,14.43,12012023_FAD131_M2_5xFAD_liver_O3on_01,924.8 -> 625.5
64,liver,FAD131,14.43,5xFAD,109.0,[TG(56:6)]_FA18:1,678.0,M4,[TG(56:6)]_FA18:1-FAD131-M4-5xFAD-liver,9601.240234375,924.8,625.5,14.43,12012023_FAD131_M4_5xFAD_liver_O3on_01,924.8 -> 625.5
65,liver,FAD173,14.35,5xFAD,139.0,[TG(56:6)]_FA18:1,679.0,M1,[TG(56:6)]_FA18:1-FAD173-M1-5xFAD-liver,19993.6015625,924.8,625.5,14.35,12012023_FAD173_M1_5xFAD_liver_O3on_01,924.8 -> 625.5
66,liver,DOD73,13.01,5xFAD,20.0,"[TG(56:7),TG(55:0)]_FA16:1",670.0,M2,"[TG(56:7),TG(55:0)]_FA16:1-DOD73-M2-5xFAD-liver",1474.340087890625,922.9,651.6,13.01,12012023_DOD73_M2_5xFAD_liver_O3on_01,922.9 -> 651.6
67,liver,FAD131,13.06,5xFAD,50.0,"[TG(56:7),TG(55:0)]_FA16:1",671.0,M1,"[TG(56:7),TG(55:0)]_FA16:1-FAD131-M1-5xFAD-liver",2633.16015625,922.9,651.6,12.97,12012023_FAD131_M1_5xFAD_liver_O3on_01,922.9 -> 651.6
68,liver,FAD131,13.06,5xFAD,80.0,"[TG(56:7),TG(55:0)]_FA16:1",672.0,M2,"[TG(56:7),TG(55:0)]_FA16:1-FAD131-M2-5xFAD-liver",4062.76025390625,922.9,651.6,13.06,12012023_FAD131_M2_5xFAD_liver_O3on_01,922.9 -> 651.6
69,liver,FAD131,13.06,5xFAD,110.0,"[TG(56:7),TG(55:0)]_FA16:1",673.0,M4,"[TG(56:7),TG(55:0)]_FA16:1-FAD131-M4-5xFAD-liver",906.820068359375,922.9,651.6,13.15,12012023_FAD131_M4_5xFAD_liver_O3on_01,922.9 -> 651.6
70,liver,FAD173,13.1,5xFAD,140.0,"[TG(56:7),TG(55:0)]_FA16:1",674.0,M1,"[TG(56:7),TG(55:0)]_FA16:1-FAD173-M1-5xFAD-liver",1722.9600830078125,922.9,651.6,13.1,12012023_FAD173_M1_5xFAD_liver_O3on_01,922.9 -> 651.6
71,liver,DOD73,13.72,5xFAD,21.0,"[TG(56:7),TG(55:0)]_FA18:1",665.0,M2,"[TG(56:7),TG(55:0)]_FA18:1-DOD73-M2-5xFAD-liver",15713.2412109375,922.9,623.6,13.72,12012023_DOD73_M2_5xFAD_liver_O3on_01,922.9 -> 623.6
72,liver,FAD131,13.77,5xFAD,51.0,"[TG(56:7),TG(55:0)]_FA18:1",666.0,M1,"[TG(56:7),TG(55:0)]_FA18:1-FAD131-M1-5xFAD-liver",28479.962890625,922.9,623.6,13.77,12012023_FAD131_M1_5xFAD_liver_O3on_01,922.9 -> 623.6
73,liver,FAD131,13.77,5xFAD,81.0,"[TG(56:7),TG(55:0)]_FA18:1",667.0,M2,"[TG(56:7),TG(55:0)]_FA18:1-FAD131-M2-5xFAD-liver",23590.720703125,922.9,623.6,13.72,12012023_FAD131_M2_5xFAD_liver_O3on_01,922.9 -> 623.6
74,liver,FAD131,13.77,5xFAD,111.0,"[TG(56:7),TG(55:0)]_FA18:1",668.0,M4,"[TG(56:7),TG(55:0)]_FA18:1-FAD131-M4-5xFAD-liver",7819.1005859375,922.9,623.6,13.77,12012023_FAD131_M4_5xFAD_liver_O3on_01,922.9 -> 623.6
75,liver,FAD173,13.72,5xFAD,141.0,"[TG(56:7),TG(55:0)]_FA18:1",669.0,M1,"[TG(56:7),TG(55:0)]_FA18:1-FAD173-M1-5xFAD-liver",15696.9013671875,922.9,623.6,13.72,12012023_FAD173_M1_5xFAD_liver_O3on_01,922.9 -> 623.6
76,liver,DOD73,17.23,5xFAD,22.0,"[TG(57:10),TG(56:3)]_FA18:1",690.0,M2,"[TG(57:10),TG(56:3)]_FA18:1-DOD73-M2-5xFAD-liver",13517.5009765625,930.6,631.5,17.23,12012023_DOD73_M2_5xFAD_liver_O3on_01,930.6 -> 631.5
77,liver,FAD131,17.23,5xFAD,52.0,"[TG(57:10),TG(56:3)]_FA18:1",691.0,M1,"[TG(57:10),TG(56:3)]_FA18:1-FAD131-M1-5xFAD-liver",57761.34375,930.6,631.5,17.28,12012023_FAD131_M1_5xFAD_liver_O3on_01,930.6 -> 631.5
78,liver,FAD131,17.23,5xFAD,82.0,"[TG(57:10),TG(56:3)]_FA18:1",692.0,M2,"[TG(57:10),TG(56:3)]_FA18:1-FAD131-M2-5xFAD-liver",64138.00390625,930.6,631.5,17.23,12012023_FAD131_M2_5xFAD_liver_O3on_01,930.6 -> 631.5
79,liver,FAD131,17.23,5xFAD,112.0,"[TG(57:10),TG(56:3)]_FA18:1",693.0,M4,"[TG(57:10),TG(56:3)]_FA18:1-FAD131-M4-5xFAD-liver",4976.30029296875,930.6,631.5,17.23,12012023_FAD131_M4_5xFAD_liver_O3on_01,930.6 -> 631.5
