,Biology,Cage,Correct_RT,Genotype,Group_Sample,Lipid,Match_Group,Max_Intensity,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
12,cortex,FAD189,12.26,5xFAD,121.0,[TG(52:5)]_FA16:1,2873.0,20473.0,M1,[TG(52:5)]_FA16:1-FAD189-M1-5xFAD-cortex,20473.0,870.8,599.5,12.26,11292023_FAD189_M1_5xFAD_cortex_O3on_01,870.8 -> 599.5
13,cortex,FAD189,12.26,5xFAD,155.0,[TG(52:5)]_FA16:1,2877.0,4375.0,M2,[TG(52:5)]_FA16:1-FAD189-M2-5xFAD-cortex,4375.0,870.8,599.5,12.0,11292023_FAD189_M2_5xFAD_cortex_O3on_01,870.8 -> 599.5
14,cereb,DOD93,13.46,5xFAD,1.0,[TG(54:5)]_FA18:1,2976.0,2281.0,F4,[TG(54:5)]_FA18:1-DOD93-F4-5xFAD-cereb,2281.0,898.8,599.5,13.46,11292023_DOD93_F4_5xFAD_cereb_O3on_01,898.8 -> 599.5
15,cortex,DOD93,13.55,5xFAD,6.0,[TG(54:5)]_FA18:1,2977.0,3104.0,F4,[TG(54:5)]_FA18:1-DOD93-F4-5xFAD-cortex,3104.0,898.8,599.5,13.55,11292023_DOD93_F4_5xFAD_cortex_O3on_01,898.8 -> 599.5
16,dienc,DOD93,13.55,5xFAD,12.0,[TG(54:5)]_FA18:1,2978.0,2263.0,F4,[TG(54:5)]_FA18:1-DOD93-F4-5xFAD-dienc,2263.0,898.8,599.5,13.55,11292023_DOD93_F4_5xFAD_dienc_O3on_01,898.8 -> 599.5
17,cereb,DOD94,13.46,5xFAD,22.0,[TG(54:5)]_FA18:1,2980.0,10978.0,F4,[TG(54:5)]_FA18:1-DOD94-F4-5xFAD-cereb,10978.0,898.8,599.5,13.46,11292023_DOD94_F4_5xFAD_cereb_O3on_01,898.8 -> 599.5
18,cortex,DOD94,13.51,5xFAD,29.0,[TG(54:5)]_FA18:1,2981.0,5047.0,F4,[TG(54:5)]_FA18:1-DOD94-F4-5xFAD-cortex,5047.0,898.8,599.5,13.51,11292023_DOD94_F4_5xFAD_cortex_O3on_01,898.8 -> 599.5
19,cereb,FAD185,13.28,5xFAD,42.0,[TG(54:5)]_FA18:1,2984.0,9125.0,M1,[TG(54:5)]_FA18:1-FAD185-M1-5xFAD-cereb,9125.0,898.8,599.5,13.46,11292023_FAD185_M1_5xFAD_cereb_O3on_01,898.8 -> 599.5
20,cortex,FAD185,13.46,5xFAD,47.0,[TG(54:5)]_FA18:1,2985.0,12759.0,M1,[TG(54:5)]_FA18:1-FAD185-M1-5xFAD-cortex,12759.0,898.8,599.5,13.46,11292023_FAD185_M1_5xFAD_cortex_O3on_01,898.8 -> 599.5
21,dienc,FAD185,13.24,5xFAD,52.0,[TG(54:5)]_FA18:1,2986.0,3481.0,M1,[TG(54:5)]_FA18:1-FAD185-M1-5xFAD-dienc,3481.0,898.8,599.5,13.46,11292023_FAD185_M1_5xFAD_dienc_O3on_01,898.8 -> 599.5
22,hippo,FAD185,13.28,5xFAD,58.0,[TG(54:5)]_FA18:1,2987.0,2297.0,M1,[TG(54:5)]_FA18:1-FAD185-M1-5xFAD-hippo,2297.0,898.8,599.5,13.51,11292023_FAD185_M1_5xFAD_hippo_O3on_01,898.8 -> 599.5
23,cereb,FAD185,13.28,5xFAD,66.0,[TG(54:5)]_FA18:1,2988.0,120808.0,M3,[TG(54:5)]_FA18:1-FAD185-M3-5xFAD-cereb,120808.0,898.8,599.5,13.28,11292023_FAD185_M3_5xFAD_cereb_O3on_01,898.8 -> 599.5
24,cortex,FAD185,13.46,5xFAD,84.0,[TG(54:5)]_FA18:1,2989.0,63695.0,M3,[TG(54:5)]_FA18:1-FAD185-M3-5xFAD-cortex,218.0,898.8,599.5,14.13,11292023_FAD185_M3_5xFAD_cortex_O3on_01,898.8 -> 599.5
25,dienc,FAD185,13.24,5xFAD,94.0,[TG(54:5)]_FA18:1,2990.0,99740.0,M3,[TG(54:5)]_FA18:1-FAD185-M3-5xFAD-dienc,99740.0,898.8,599.5,13.24,11292023_FAD185_M3_5xFAD_dienc_O3on_01,898.8 -> 599.5
26,hippo,FAD185,13.28,5xFAD,103.0,[TG(54:5)]_FA18:1,2991.0,28471.0,M3,[TG(54:5)]_FA18:1-FAD185-M3-5xFAD-hippo,28471.0,898.8,599.5,13.28,11292023_FAD185_M3_5xFAD_hippo_O3on_01,898.8 -> 599.5
27,cereb,FAD189,13.51,5xFAD,112.0,[TG(54:5)]_FA18:1,2992.0,79275.0,M1,[TG(54:5)]_FA18:1-FAD189-M1-5xFAD-cereb,79275.0,898.8,599.5,13.51,11292023_FAD189_M1_5xFAD_cereb_O3on_01,898.8 -> 599.5
28,cortex,FAD189,13.51,5xFAD,123.0,[TG(54:5)]_FA18:1,2993.0,112529.0,M1,[TG(54:5)]_FA18:1-FAD189-M1-5xFAD-cortex,112529.0,898.8,599.5,13.51,11292023_FAD189_M1_5xFAD_cortex_O3on_01,898.8 -> 599.5
29,dienc,FAD189,13.51,5xFAD,133.0,[TG(54:5)]_FA18:1,2994.0,16886.0,M1,[TG(54:5)]_FA18:1-FAD189-M1-5xFAD-dienc,16886.0,898.8,599.5,13.51,11292023_FAD189_M1_5xFAD_dienc_O3on_01,898.8 -> 599.5
30,hippo,FAD189,13.59,5xFAD,139.0,[TG(54:5)]_FA18:1,2995.0,2723.0,M1,[TG(54:5)]_FA18:1-FAD189-M1-5xFAD-hippo,2723.0,898.8,599.5,13.59,11292023_FAD189_M1_5xFAD_hippo_O3on_01,898.8 -> 599.5
31,cereb,FAD189,13.51,5xFAD,147.0,[TG(54:5)]_FA18:1,2996.0,75472.0,M2,[TG(54:5)]_FA18:1-FAD189-M2-5xFAD-cereb,75472.0,898.8,599.5,13.19,11292023_FAD189_M2_5xFAD_cereb_O3on_01,898.8 -> 599.5
32,cortex,FAD189,13.51,5xFAD,156.0,[TG(54:5)]_FA18:1,2997.0,18599.0,M2,[TG(54:5)]_FA18:1-FAD189-M2-5xFAD-cortex,18599.0,898.8,599.5,13.24,11292023_FAD189_M2_5xFAD_cortex_O3on_01,898.8 -> 599.5
33,dienc,FAD189,13.51,5xFAD,162.0,[TG(54:5)]_FA18:1,2998.0,37439.0,M2,[TG(54:5)]_FA18:1-FAD189-M2-5xFAD-dienc,400.0,898.8,599.5,13.99,11292023_FAD189_M2_5xFAD_dienc_O3on_01,898.8 -> 599.5
34,cereb,FAD185,12.13,5xFAD,67.0,[TG(54:6)]_FA18:1,2964.0,12511.0,M3,[TG(54:6)]_FA18:1-FAD185-M3-5xFAD-cereb,12511.0,896.8,597.5,12.13,11292023_FAD185_M3_5xFAD_cereb_O3on_01,896.8 -> 597.5
35,dienc,FAD185,12.17,5xFAD,95.0,[TG(54:6)]_FA18:1,2966.0,4602.0,M3,[TG(54:6)]_FA18:1-FAD185-M3-5xFAD-dienc,4602.0,896.8,597.5,12.17,11292023_FAD185_M3_5xFAD_dienc_O3on_01,896.8 -> 597.5
36,cereb,FAD189,12.44,5xFAD,113.0,[TG(54:6)]_FA18:1,2968.0,9348.0,M1,[TG(54:6)]_FA18:1-FAD189-M1-5xFAD-cereb,9348.0,896.8,597.5,12.44,11292023_FAD189_M1_5xFAD_cereb_O3on_01,896.8 -> 597.5
37,cortex,FAD189,12.4,5xFAD,124.0,[TG(54:6)]_FA18:1,2969.0,14013.0,M1,[TG(54:6)]_FA18:1-FAD189-M1-5xFAD-cortex,14013.0,896.8,597.5,12.4,11292023_FAD189_M1_5xFAD_cortex_O3on_01,896.8 -> 597.5
38,cereb,DOD93,15.86,5xFAD,2.0,"[TG(55:10),TG(54:3)]_FA18:1",3048.0,22649.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD93-F4-5xFAD-cereb",22649.0,902.8,603.5,15.86,11292023_DOD93_F4_5xFAD_cereb_O3on_01,902.8 -> 603.5
39,cortex,DOD93,15.86,5xFAD,7.0,"[TG(55:10),TG(54:3)]_FA18:1",3049.0,31651.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD93-F4-5xFAD-cortex",31651.0,902.8,603.5,15.86,11292023_DOD93_F4_5xFAD_cortex_O3on_01,902.8 -> 603.5
40,dienc,DOD93,15.86,5xFAD,13.0,"[TG(55:10),TG(54:3)]_FA18:1",3050.0,34820.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD93-F4-5xFAD-dienc",34820.0,902.8,603.5,15.86,11292023_DOD93_F4_5xFAD_dienc_O3on_01,902.8 -> 603.5
41,hippo,DOD93,15.81,5xFAD,17.0,"[TG(55:10),TG(54:3)]_FA18:1",3051.0,28989.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD93-F4-5xFAD-hippo",28989.0,902.8,603.5,15.81,11292023_DOD93_F4_5xFAD_hippo_O3on_01,902.8 -> 603.5
42,cereb,DOD94,15.81,5xFAD,23.0,"[TG(55:10),TG(54:3)]_FA18:1",3052.0,52180.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD94-F4-5xFAD-cereb",52180.0,902.8,603.5,15.81,11292023_DOD94_F4_5xFAD_cereb_O3on_01,902.8 -> 603.5
43,cortex,DOD94,15.86,5xFAD,30.0,"[TG(55:10),TG(54:3)]_FA18:1",3053.0,39584.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD94-F4-5xFAD-cortex",39584.0,902.8,603.5,15.86,11292023_DOD94_F4_5xFAD_cortex_O3on_01,902.8 -> 603.5
44,dienc,DOD94,15.86,5xFAD,34.0,"[TG(55:10),TG(54:3)]_FA18:1",3054.0,28385.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD94-F4-5xFAD-dienc",28385.0,902.8,603.5,15.86,11292023_DOD94_F4_5xFAD_dienc_O3on_01,902.8 -> 603.5
45,hippo,DOD94,15.9,5xFAD,38.0,"[TG(55:10),TG(54:3)]_FA18:1",3055.0,22736.0,F4,"[TG(55:10),TG(54:3)]_FA18:1-DOD94-F4-5xFAD-hippo",22736.0,902.8,603.5,15.9,11292023_DOD94_F4_5xFAD_hippo_O3on_01,902.8 -> 603.5
46,cereb,FAD185,15.64,5xFAD,43.0,"[TG(55:10),TG(54:3)]_FA18:1",3056.0,30750.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M1-5xFAD-cereb",30750.0,902.8,603.5,15.86,11292023_FAD185_M1_5xFAD_cereb_O3on_01,902.8 -> 603.5
47,cortex,FAD185,15.86,5xFAD,48.0,"[TG(55:10),TG(54:3)]_FA18:1",3057.0,31123.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M1-5xFAD-cortex",31123.0,902.8,603.5,15.86,11292023_FAD185_M1_5xFAD_cortex_O3on_01,902.8 -> 603.5
48,dienc,FAD185,15.64,5xFAD,53.0,"[TG(55:10),TG(54:3)]_FA18:1",3058.0,26313.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M1-5xFAD-dienc",26313.0,902.8,603.5,15.86,11292023_FAD185_M1_5xFAD_dienc_O3on_01,902.8 -> 603.5
49,hippo,FAD185,15.64,5xFAD,59.0,"[TG(55:10),TG(54:3)]_FA18:1",3059.0,26555.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M1-5xFAD-hippo",26555.0,902.8,603.5,15.86,11292023_FAD185_M1_5xFAD_hippo_O3on_01,902.8 -> 603.5
50,cereb,FAD185,15.64,5xFAD,68.0,"[TG(55:10),TG(54:3)]_FA18:1",3060.0,356688.0,M3,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M3-5xFAD-cereb",356688.0,902.8,603.5,15.64,11292023_FAD185_M3_5xFAD_cereb_O3on_01,902.8 -> 603.5
51,cortex,FAD185,15.86,5xFAD,86.0,"[TG(55:10),TG(54:3)]_FA18:1",3061.0,92818.0,M3,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M3-5xFAD-cortex",310.0,902.8,603.5,16.26,11292023_FAD185_M3_5xFAD_cortex_O3on_01,902.8 -> 603.5
52,dienc,FAD185,15.64,5xFAD,96.0,"[TG(55:10),TG(54:3)]_FA18:1",3062.0,208101.0,M3,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M3-5xFAD-dienc",208101.0,902.8,603.5,15.64,11292023_FAD185_M3_5xFAD_dienc_O3on_01,902.8 -> 603.5
53,hippo,FAD185,15.64,5xFAD,104.0,"[TG(55:10),TG(54:3)]_FA18:1",3063.0,55075.0,M3,"[TG(55:10),TG(54:3)]_FA18:1-FAD185-M3-5xFAD-hippo",55075.0,902.8,603.5,15.64,11292023_FAD185_M3_5xFAD_hippo_O3on_01,902.8 -> 603.5
54,cereb,FAD189,15.59,5xFAD,114.0,"[TG(55:10),TG(54:3)]_FA18:1",3064.0,116752.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M1-5xFAD-cereb",116752.0,902.8,603.5,15.86,11292023_FAD189_M1_5xFAD_cereb_O3on_01,902.8 -> 603.5
55,cortex,FAD189,15.86,5xFAD,125.0,"[TG(55:10),TG(54:3)]_FA18:1",3065.0,165912.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M1-5xFAD-cortex",165912.0,902.8,603.5,15.86,11292023_FAD189_M1_5xFAD_cortex_O3on_01,902.8 -> 603.5
56,dienc,FAD189,15.64,5xFAD,135.0,"[TG(55:10),TG(54:3)]_FA18:1",3066.0,29561.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M1-5xFAD-dienc",29561.0,902.8,603.5,15.95,11292023_FAD189_M1_5xFAD_dienc_O3on_01,902.8 -> 603.5
57,hippo,FAD189,15.9,5xFAD,140.0,"[TG(55:10),TG(54:3)]_FA18:1",3067.0,24136.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M1-5xFAD-hippo",24136.0,902.8,603.5,15.9,11292023_FAD189_M1_5xFAD_hippo_O3on_01,902.8 -> 603.5
58,cereb,FAD189,15.59,5xFAD,149.0,"[TG(55:10),TG(54:3)]_FA18:1",3068.0,238765.0,M2,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M2-5xFAD-cereb",238765.0,902.8,603.5,15.59,11292023_FAD189_M2_5xFAD_cereb_O3on_01,902.8 -> 603.5
59,cortex,FAD189,15.86,5xFAD,157.0,"[TG(55:10),TG(54:3)]_FA18:1",3069.0,42008.0,M2,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M2-5xFAD-cortex",42008.0,902.8,603.5,15.64,11292023_FAD189_M2_5xFAD_cortex_O3on_01,902.8 -> 603.5
60,dienc,FAD189,15.64,5xFAD,164.0,"[TG(55:10),TG(54:3)]_FA18:1",3070.0,70687.0,M2,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M2-5xFAD-dienc",70687.0,902.8,603.5,15.64,11292023_FAD189_M2_5xFAD_dienc_O3on_01,902.8 -> 603.5
61,hippo,FAD189,15.9,5xFAD,169.0,"[TG(55:10),TG(54:3)]_FA18:1",3071.0,11359.0,M2,"[TG(55:10),TG(54:3)]_FA18:1-FAD189-M2-5xFAD-hippo",11359.0,902.8,603.5,15.64,11292023_FAD189_M2_5xFAD_hippo_O3on_01,902.8 -> 603.5
62,cereb,DOD93,14.66,5xFAD,3.0,"[TG(55:11),TG(54:4)]_FA18:1",3000.0,4855.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD93-F4-5xFAD-cereb",4855.0,900.8,601.5,14.66,11292023_DOD93_F4_5xFAD_cereb_O3on_01,900.8 -> 601.5
63,cortex,DOD93,14.66,5xFAD,8.0,"[TG(55:11),TG(54:4)]_FA18:1",3001.0,10212.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD93-F4-5xFAD-cortex",10212.0,900.8,601.5,14.66,11292023_DOD93_F4_5xFAD_cortex_O3on_01,900.8 -> 601.5
64,dienc,DOD93,14.7,5xFAD,14.0,"[TG(55:11),TG(54:4)]_FA18:1",3002.0,8831.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD93-F4-5xFAD-dienc",8831.0,900.8,601.5,14.7,11292023_DOD93_F4_5xFAD_dienc_O3on_01,900.8 -> 601.5
65,hippo,DOD93,14.7,5xFAD,18.0,"[TG(55:11),TG(54:4)]_FA18:1",3003.0,5340.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD93-F4-5xFAD-hippo",5340.0,900.8,601.5,14.7,11292023_DOD93_F4_5xFAD_hippo_O3on_01,900.8 -> 601.5
66,cereb,DOD94,14.66,5xFAD,24.0,"[TG(55:11),TG(54:4)]_FA18:1",3004.0,37219.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD94-F4-5xFAD-cereb",37219.0,900.8,601.5,14.66,11292023_DOD94_F4_5xFAD_cereb_O3on_01,900.8 -> 601.5
67,cortex,DOD94,14.7,5xFAD,31.0,"[TG(55:11),TG(54:4)]_FA18:1",3005.0,15266.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD94-F4-5xFAD-cortex",15266.0,900.8,601.5,14.7,11292023_DOD94_F4_5xFAD_cortex_O3on_01,900.8 -> 601.5
68,dienc,DOD94,14.7,5xFAD,35.0,"[TG(55:11),TG(54:4)]_FA18:1",3006.0,4422.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD94-F4-5xFAD-dienc",4422.0,900.8,601.5,14.7,11292023_DOD94_F4_5xFAD_dienc_O3on_01,900.8 -> 601.5
69,hippo,DOD94,14.7,5xFAD,39.0,"[TG(55:11),TG(54:4)]_FA18:1",3007.0,3915.0,F4,"[TG(55:11),TG(54:4)]_FA18:1-DOD94-F4-5xFAD-hippo",3915.0,900.8,601.5,14.7,11292023_DOD94_F4_5xFAD_hippo_O3on_01,900.8 -> 601.5
70,cereb,FAD185,14.48,5xFAD,44.0,"[TG(55:11),TG(54:4)]_FA18:1",3008.0,16998.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M1-5xFAD-cereb",16998.0,900.8,601.5,14.66,11292023_FAD185_M1_5xFAD_cereb_O3on_01,900.8 -> 601.5
71,cortex,FAD185,14.66,5xFAD,49.0,"[TG(55:11),TG(54:4)]_FA18:1",3009.0,26376.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M1-5xFAD-cortex",26376.0,900.8,601.5,14.66,11292023_FAD185_M1_5xFAD_cortex_O3on_01,900.8 -> 601.5
72,dienc,FAD185,14.48,5xFAD,54.0,"[TG(55:11),TG(54:4)]_FA18:1",3010.0,9942.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M1-5xFAD-dienc",9942.0,900.8,601.5,14.66,11292023_FAD185_M1_5xFAD_dienc_O3on_01,900.8 -> 601.5
73,hippo,FAD185,14.48,5xFAD,60.0,"[TG(55:11),TG(54:4)]_FA18:1",3011.0,5924.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M1-5xFAD-hippo",5924.0,900.8,601.5,14.7,11292023_FAD185_M1_5xFAD_hippo_O3on_01,900.8 -> 601.5
74,cereb,FAD185,14.48,5xFAD,69.0,"[TG(55:11),TG(54:4)]_FA18:1",3012.0,296251.0,M3,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M3-5xFAD-cereb",296251.0,900.8,601.5,14.48,11292023_FAD185_M3_5xFAD_cereb_O3on_01,900.8 -> 601.5
75,cortex,FAD185,14.66,5xFAD,87.0,"[TG(55:11),TG(54:4)]_FA18:1",3013.0,156889.0,M3,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M3-5xFAD-cortex",337.0,900.8,601.5,15.15,11292023_FAD185_M3_5xFAD_cortex_O3on_01,900.8 -> 601.5
76,dienc,FAD185,14.48,5xFAD,97.0,"[TG(55:11),TG(54:4)]_FA18:1",3014.0,256672.0,M3,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M3-5xFAD-dienc",256672.0,900.8,601.5,14.48,11292023_FAD185_M3_5xFAD_dienc_O3on_01,900.8 -> 601.5
77,hippo,FAD185,14.48,5xFAD,105.0,"[TG(55:11),TG(54:4)]_FA18:1",3015.0,79601.0,M3,"[TG(55:11),TG(54:4)]_FA18:1-FAD185-M3-5xFAD-hippo",79601.0,900.8,601.5,14.48,11292023_FAD185_M3_5xFAD_hippo_O3on_01,900.8 -> 601.5
78,cereb,FAD189,14.44,5xFAD,115.0,"[TG(55:11),TG(54:4)]_FA18:1",3016.0,167658.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M1-5xFAD-cereb",167658.0,900.8,601.5,14.7,11292023_FAD189_M1_5xFAD_cereb_O3on_01,900.8 -> 601.5
79,cortex,FAD189,14.7,5xFAD,126.0,"[TG(55:11),TG(54:4)]_FA18:1",3017.0,204446.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M1-5xFAD-cortex",204446.0,900.8,601.5,14.7,11292023_FAD189_M1_5xFAD_cortex_O3on_01,900.8 -> 601.5
80,dienc,FAD189,14.48,5xFAD,136.0,"[TG(55:11),TG(54:4)]_FA18:1",3018.0,31508.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M1-5xFAD-dienc",31508.0,900.8,601.5,14.7,11292023_FAD189_M1_5xFAD_dienc_O3on_01,900.8 -> 601.5
81,hippo,FAD189,14.7,5xFAD,141.0,"[TG(55:11),TG(54:4)]_FA18:1",3019.0,8725.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M1-5xFAD-hippo",8725.0,900.8,601.5,14.7,11292023_FAD189_M1_5xFAD_hippo_O3on_01,900.8 -> 601.5
82,cereb,FAD189,14.44,5xFAD,150.0,"[TG(55:11),TG(54:4)]_FA18:1",3020.0,180086.0,M2,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M2-5xFAD-cereb",180086.0,900.8,601.5,14.44,11292023_FAD189_M2_5xFAD_cereb_O3on_01,900.8 -> 601.5
83,cortex,FAD189,14.7,5xFAD,158.0,"[TG(55:11),TG(54:4)]_FA18:1",3021.0,52394.0,M2,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M2-5xFAD-cortex",52394.0,900.8,601.5,14.48,11292023_FAD189_M2_5xFAD_cortex_O3on_01,900.8 -> 601.5
84,dienc,FAD189,14.48,5xFAD,165.0,"[TG(55:11),TG(54:4)]_FA18:1",3022.0,79140.0,M2,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M2-5xFAD-dienc",79140.0,900.8,601.5,14.48,11292023_FAD189_M2_5xFAD_dienc_O3on_01,900.8 -> 601.5
85,hippo,FAD189,14.7,5xFAD,170.0,"[TG(55:11),TG(54:4)]_FA18:1",3023.0,3807.0,M2,"[TG(55:11),TG(54:4)]_FA18:1-FAD189-M2-5xFAD-hippo",3807.0,900.8,601.5,14.48,11292023_FAD189_M2_5xFAD_hippo_O3on_01,900.8 -> 601.5
86,cereb,FAD185,16.88,5xFAD,70.0,"[TG(55:8),TG(54:1)]_FA18:1",3108.0,3469.0,M3,"[TG(55:8),TG(54:1)]_FA18:1-FAD185-M3-5xFAD-cereb",3469.0,906.8,607.5,16.88,11292023_FAD185_M3_5xFAD_cereb_O3on_01,906.8 -> 607.5
87,dienc,FAD185,16.88,5xFAD,98.0,"[TG(55:8),TG(54:1)]_FA18:1",3110.0,2900.0,M3,"[TG(55:8),TG(54:1)]_FA18:1-FAD185-M3-5xFAD-dienc",2900.0,906.8,607.5,16.88,11292023_FAD185_M3_5xFAD_dienc_O3on_01,906.8 -> 607.5
88,cereb,DOD93,17.1,5xFAD,4.0,"[TG(55:9),TG(54:2)]_FA18:1",3072.0,5098.0,F4,"[TG(55:9),TG(54:2)]_FA18:1-DOD93-F4-5xFAD-cereb",5098.0,904.8,605.5,17.1,11292023_DOD93_F4_5xFAD_cereb_O3on_01,904.8 -> 605.5
89,cortex,DOD93,17.15,5xFAD,9.0,"[TG(55:9),TG(54:2)]_FA18:1",3073.0,5702.0,F4,"[TG(55:9),TG(54:2)]_FA18:1-DOD93-F4-5xFAD-cortex",5702.0,904.8,605.5,17.15,11292023_DOD93_F4_5xFAD_cortex_O3on_01,904.8 -> 605.5
